wall_u,window_u,window_shgc,roof_u,transmittance,heating_load,cooling_load
0.30858394760779606,2.383679082103626,0.3500000000338642,0.3306982963220133,1.3717002599005481e-09,8164.92333984375,0.0002510416379664093
0.1,0.72,0.75,0.1,0.79999975253918,1067.4490966796875,3481.21044921875
0.30858394760779606,2.383679082103626,0.3500000000231574,0.3306982963220133,8.352964048188805e-10,8164.92333984375,0.0002510416379664093
0.1,0.72,0.75,0.1,0.7999997573047395,1067.4490966796875,3481.21044921875
0.1828935471094578,2.3988888361546477,0.35078162226941234,0.3993484785099834,0.00022601108857238868,7013.52685546875,38.28180694580078
0.10000003673889776,0.7250527415076208,0.45975281519198874,0.10017188748155861,0.7798272528955204,1331.6605224609375,2254.790283203125
0.12778191301060138,2.3728164694293294,0.3555845349926784,0.36961273287939084,0.0003314267178333664,6232.0693359375,79.47541046142578
0.1000072773426481,0.7200029323954058,0.6872934026746204,0.10020984546465689,0.7989608516854525,1125.2816162109375,3240.488525390625
0.10159007836296317,0.7200002453698396,0.35134028106669224,0.10012722877412579,0.17110432618613786,1871.0345458984375,920.052734375
0.10005255912804321,1.6203495138170174,0.3684513876765557,0.10057506058072346,4.094920065117254e-06,3507.16552734375,340.4259338378906
0.10031171524130805,2.3605176760356668,0.3500517902625316,0.3567549619214447,0.0007496868480954132,5838.95361328125,100.11658477783203
0.1,0.7200244857745467,0.3870979865466629,0.10020018734559334,0.7999999991022587,1390.7442626953125,2020.695556640625
0.13439040734117919,2.395204633314325,0.35054644466046275,0.3999713918660063,0.008726932975450736,6453.69384765625,69.57270050048828
0.10000383582349474,0.72,0.75,0.1,0.5607295247522872,1253.3284912109375,2611.05078125
0.10000000314349604,0.7200002453698396,0.3548737978859072,0.10069357430073207,0.32800399491756455,1755.7720947265625,1152.85986328125
0.10000002050152512,0.7200014861113129,0.36246922223922934,0.10000049082629478,0.10345831144491444,1899.1732177734375,833.2089233398438
0.1548506556751742,2.399999999565374,0.35000375513158477,0.3994562330223548,1.0996273993275824e-07,6705.94775390625,50.66303253173828
0.10057994933913758,1.4192612515184935,0.3613818814203809,0.10318164828341442,1.9165083565518606e-08,3194.5458984375,393.0069885253906
0.23355247401934828,2.399941441751492,0.35000915347511047,0.39971627425912193,6.651931773205968e-11,7580.10107421875,15.605414390563965
0.10050555562480887,1.958115673058156,0.3501135766881157,0.13560850864647145,1.8176468110571774e-08,4216.68359375,243.57928466796875
0.1,0.7200295457976974,0.35429097374339025,0.10065391353080168,0.5238486664213139,1650.2125244140625,1428.019287109375
0.1114974090953319,2.3161591332406433,0.35508120446914887,0.27410718881873175,0.0003929756369265234,5526.03759765625,126.82508087158203
0.10452550678334495,1.0651820072644809,0.35115595065857963,0.10090898422794088,0.003852839330560281,2611.67529296875,517.4850463867188
0.10241696702250476,1.213396862620945,0.3880530541502408,0.1157829374623169,7.47500478344477e-07,2889.86767578125,462.2986755371094
0.10016891940520893,0.7200000064131653,0.6675032913283672,0.10203023127195517,0.7876436453208652,1159.1072998046875,3124.026123046875
0.10000000000005124,0.720003580454704,0.4782767102353577,0.10018332514496106,0.6814349794762546,1372.8968505859375,2062.074462890625
0.10000000000003408,0.7200063471681275,0.4359542216152682,0.10056914292595881,0.21433211015897302,1797.3431396484375,1072.851318359375
0.1,0.720043765595408,0.4964681493484404,0.10020018734559334,0.7999999991022587,1271.1556396484375,2481.50732421875
0.1105529508569237,1.4115089724986787,0.35508120446914887,0.11676861134281746,0.0008662337770812493,3352.95361328125,367.48272705078125
0.10169160587045377,2.2769545178185604,0.35027687588543066,0.11937006874838094,1.2798696083377219e-06,4678.68994140625,192.288818359375
0.1599108573535408,2.399999999776896,0.35000799637462726,0.3507047267477762,6.479049395734429e-06,6567.15380859375,62.77582550048828
0.10086844515540752,2.3990420766864364,0.3503445668783786,0.1396429039657767,0.00043821087913966625,4961.4072265625,167.3680419921875
0.26266888277011446,2.3690961881651074,0.35003917684403835,0.37490722468686083,0.00017474724647392748,7772.33203125,13.398993492126465
0.10000000011957105,0.720000230249783,0.3563531391749738,0.10000000000331455,0.7990337694792267,1427.4559326171875,1907.2364501953125
0.10042254584679432,2.3354181068833535,0.35003022102022935,0.2174256479883247,5.636570307502106e-07,5184.21875,150.08544921875
