scenario,wall_u,window_u,window_shgc,roof_u,transmittance,heating_load,heating_load_m2 ,cooling_load,cooling_load_m2
68,0.1,0.75,0.59,0.17,0.8,1552.83,8.67,2768.06,15.45
69,0.1,0.75,0.59,0.25,0.2,2340.54,13.06,1023.4,5.71
70,0.1,0.75,0.59,0.25,0.4,2138.31,11.93,1501.39,8.38
71,0.1,0.75,0.59,0.25,0.6,1958.83,10.93,2047.97,11.43
72,0.1,0.75,0.59,0.25,0.8,1798.74,10.04,2639.56,14.73
73,0.1,0.75,0.59,0.32,0.2,2582.06,14.41,967.09,5.4
74,0.1,0.75,0.59,0.32,0.4,2371.25,13.23,1430.25,7.98
75,0.1,0.75,0.59,0.32,0.6,2184.92,12.19,1963.21,10.96
76,0.1,0.75,0.59,0.32,0.8,2018.19,11.26,2544.12,14.2
77,0.1,0.75,0.59,0.4,0.2,2851.4,15.91,913.1,5.1
78,0.1,0.75,0.59,0.4,0.4,2631.03,14.68,1360.56,7.59
79,0.1,0.75,0.59,0.4,0.6,2439.56,13.62,1879.43,10.49
80,0.1,0.75,0.59,0.4,0.8,2266.59,12.65,2449.7,13.67
81,0.1,0.75,0.67,0.1,0.2,1799.67,10.04,1244.93,6.95
82,0.1,0.75,0.67,0.1,0.4,1598.59,8.92,1845.27,10.3
83,0.1,0.75,0.67,0.1,0.6,1425.53,7.96,2515.4,14.04
84,0.1,0.75,0.67,0.1,0.8,1278.12,7.13,3239.63,18.08
85,0.1,0.75,0.67,0.17,0.2,2038.51,11.38,1159.29,6.47
86,0.1,0.75,0.67,0.17,0.4,1826.19,10.19,1736.53,9.69
87,0.1,0.75,0.67,0.17,0.6,1641.64,9.16,2388.52,13.33
88,0.1,0.75,0.67,0.17,0.8,1484.01,8.28,3095.78,17.28
89,0.1,0.75,0.67,0.25,0.2,2311.3,12.9,1079.73,6.03
90,0.1,0.75,0.67,0.25,0.4,2089.65,11.66,1634.99,9.13
91,0.1,0.75,0.67,0.25,0.6,1894.49,10.57,2270.1,12.67
92,0.1,0.75,0.67,0.25,0.8,1723.39,9.62,2959.11,16.52
93,0.1,0.75,0.67,0.32,0.2,2550.79,14.24,1021.21,5.7
94,0.1,0.75,0.67,0.32,0.4,2320.86,12.95,1559.9,8.71
95,0.1,0.75,0.67,0.32,0.6,2118.01,11.82,2181.46,12.18
96,0.1,0.75,0.67,0.32,0.8,1938.82,10.82,2858.15,15.95
97,0.1,0.75,0.67,0.4,0.2,2817.56,15.73,964.97,5.39
98,0.1,0.75,0.67,0.4,0.4,2579.55,14.4,1486.76,8.3
99,0.1,0.75,0.67,0.4,0.6,2370.21,13.23,2093.54,11.68
100,0.1,0.75,0.67,0.4,0.8,2183.69,12.19,2758.01,15.39
101,0.1,0.75,0.75,0.1,0.2,1774.02,9.9,1312.96,7.33
102,0.1,0.75,0.75,0.1,0.4,1554.75,8.68,2002.95,11.18
103,0.1,0.75,0.75,0.1,0.6,1369.15,7.64,2772.71,15.48
104,0.1,0.75,0.75,0.1,0.8,1213.84,6.77,3604.18,20.12
105,0.1,0.75,0.75,0.17,0.2,2011.6,11.23,1224.4,6.83
106,0.1,0.75,0.75,0.17,0.4,1779.16,9.93,1889.54,10.55
107,0.1,0.75,0.75,0.17,0.6,1581.32,8.83,2638.9,14.73
108,0.1,0.75,0.75,0.17,0.8,1416.72,7.91,3454.49,19.28
109,0.1,0.75,0.75,0.25,0.2,2282.99,12.74,1142.08,6.37
110,0.1,0.75,0.75,0.25,0.4,2040.27,11.39,1783.11,9.95
111,0.1,0.75,0.75,0.25,0.6,1829.74,10.21,2513.76,14.03
112,0.1,0.75,0.75,0.25,0.8,1650.37,9.21,3310.5,18.48
113,0.1,0.75,0.75,0.32,0.2,2520.45,14.07,1081.33,6.04
114,0.1,0.75,0.75,0.32,0.4,2269.63,12.67,1703.95,9.51
115,0.1,0.75,0.75,0.32,0.6,2050.52,11.44,2420.73,13.51
116,0.1,0.75,0.75,0.32,0.8,1861.64,10.39,3204.03,17.88
