scenario,wall_u,window_u,window_shgc,roof_u,transmittance,heating_load,heating_load_m2 ,cooling_load,cooling_load_m2
1115,0.18,1.74,0.43,0.32,0.6,4618.12,25.77,801.24,4.47
1116,0.18,1.74,0.43,0.32,0.8,4392.91,24.52,1068.01,5.96
1117,0.18,1.74,0.43,0.4,0.2,5430.15,30.31,351.53,1.96
1118,0.18,1.74,0.43,0.4,0.4,5156.62,28.78,535.87,2.99
1119,0.18,1.74,0.43,0.4,0.6,4907.97,27.39,764.27,4.27
1120,0.18,1.74,0.43,0.4,0.8,4676.9,26.1,1024.77,5.72
1121,0.18,1.74,0.51,0.1,0.2,4209.95,23.5,509.72,2.84
1122,0.18,1.74,0.51,0.1,0.4,3918.36,21.87,783.51,4.37
1123,0.18,1.74,0.51,0.1,0.6,3657.53,20.41,1108.43,6.19
1124,0.18,1.74,0.51,0.1,0.8,3433.48,19.16,1479.42,8.26
1125,0.18,1.74,0.51,0.17,0.2,4490.72,25.06,470.76,2.63
1126,0.18,1.74,0.51,0.17,0.4,4191.79,23.4,733.69,4.09
1127,0.18,1.74,0.51,0.17,0.6,3924.72,21.9,1049.32,5.86
1128,0.18,1.74,0.51,0.17,0.8,3692.44,20.61,1410.4,7.87
1129,0.18,1.74,0.51,0.25,0.2,4808.16,26.84,434.65,2.43
1130,0.18,1.74,0.51,0.25,0.4,4501,25.12,686.9,3.83
1131,0.18,1.74,0.51,0.25,0.6,4226.03,23.59,992.43,5.54
1132,0.18,1.74,0.51,0.25,0.8,3986.45,22.25,1343.7,7.5
1133,0.18,1.74,0.51,0.32,0.2,5078.57,28.34,408.49,2.28
1134,0.18,1.74,0.51,0.32,0.4,4766.18,26.6,652.63,3.64
1135,0.18,1.74,0.51,0.32,0.6,4484.55,25.03,950.67,5.31
1136,0.18,1.74,0.51,0.32,0.8,4237.48,23.65,1293.7,7.22
1137,0.18,1.74,0.51,0.4,0.2,5374.85,30,382.89,2.14
1138,0.18,1.74,0.51,0.4,0.4,5058.02,28.23,619.17,3.46
1139,0.18,1.74,0.51,0.4,0.6,4771.43,26.63,910,5.08
1140,0.18,1.74,0.51,0.4,0.8,4515.27,25.2,1244.97,6.95
1141,0.18,1.74,0.59,0.1,0.2,4163.07,23.24,547.09,3.05
1142,0.18,1.74,0.59,0.1,0.4,3835.8,21.41,877.45,4.9
1143,0.18,1.74,0.59,0.1,0.6,3549.27,19.81,1271.59,7.1
1144,0.18,1.74,0.59,0.1,0.8,3320.32,18.53,1731.9,9.67
1145,0.18,1.74,0.59,0.17,0.2,4442.58,24.8,506.35,2.83
1146,0.18,1.74,0.59,0.17,0.4,4107.33,22.92,824.74,4.6
1147,0.18,1.74,0.59,0.17,0.6,3813.42,21.28,1208.28,6.74
1148,0.18,1.74,0.59,0.17,0.8,3574.29,19.95,1654.66,9.24
1149,0.18,1.74,0.59,0.25,0.2,4758.76,26.56,468.5,2.61
1150,0.18,1.74,0.59,0.25,0.4,4414,24.64,774.86,4.32
1151,0.18,1.74,0.59,0.25,0.6,4111.48,22.95,1146.63,6.4
1152,0.18,1.74,0.59,0.25,0.8,3863.01,21.56,1580.46,8.82
1153,0.18,1.74,0.59,0.32,0.2,5028.39,28.06,441.08,2.46
1154,0.18,1.74,0.59,0.32,0.4,4677.51,26.11,738.42,4.12
1155,0.18,1.74,0.59,0.32,0.6,4366.19,24.37,1101.2,6.15
1156,0.18,1.74,0.59,0.32,0.8,4109.5,22.94,1525.05,8.51
1157,0.18,1.74,0.59,0.4,0.2,5324.01,29.71,414.27,2.31
1158,0.18,1.74,0.59,0.4,0.4,4968.18,27.73,702.94,3.92
1159,0.18,1.74,0.59,0.4,0.6,4649.06,25.95,1057.13,5.9
1160,0.18,1.74,0.59,0.4,0.8,4381.2,24.45,1470.37,8.21
1161,0.18,1.74,0.67,0.1,0.2,4112.62,22.95,590.07,3.29
1162,0.18,1.74,0.67,0.1,0.4,3748.07,20.92,985.52,5.5
1163,0.18,1.74,0.67,0.1,0.6,3441.38,19.21,1461.9,8.16
1164,0.18,1.74,0.67,0.1,0.8,3202.28,17.87,2028.01,11.32
1165,0.18,1.74,0.67,0.17,0.2,4390.8,24.51,547.39,3.06
1166,0.18,1.74,0.67,0.17,0.4,4017.38,22.42,929.56,5.19
1167,0.18,1.74,0.67,0.17,0.6,3700.71,20.65,1393.37,7.78
1168,0.18,1.74,0.67,0.17,0.8,3453.32,19.27,1942.64,10.84
1169,0.18,1.74,0.67,0.25,0.2,4705.59,26.26,507.67,2.83
1170,0.18,1.74,0.67,0.25,0.4,4321.36,24.12,876.25,4.89
1171,0.18,1.74,0.67,0.25,0.6,3995.03,22.3,1327.04,7.41
1172,0.18,1.74,0.67,0.25,0.8,3738.84,20.87,1860.05,10.38
1173,0.18,1.74,0.67,0.32,0.2,4974.31,27.76,478.8,2.67
1174,0.18,1.74,0.67,0.32,0.4,4582.49,25.58,837.21,4.67
1175,0.18,1.74,0.67,0.32,0.6,4246.29,23.7,1277.32,7.13
1176,0.18,1.74,0.67,0.32,0.8,3983.22,22.23,1798.46,10.04
1177,0.18,1.74,0.67,0.4,0.2,5269.22,29.41,450.68,2.52
1178,0.18,1.74,0.67,0.4,0.4,4871.7,27.19,799.32,4.46
1179,0.18,1.74,0.67,0.4,0.6,4524.39,25.25,1228.89,6.86
1180,0.18,1.74,0.67,0.4,0.8,4252.22,23.73,1738.23,9.7
1181,0.18,1.74,0.75,0.1,0.2,4070.13,22.72,628.49,3.51
1182,0.18,1.74,0.75,0.1,0.4,3675.23,20.51,1082.18,6.04
1183,0.18,1.74,0.75,0.1,0.6,3359.87,18.75,1637.68,9.14
1184,0.18,1.74,0.75,0.1,0.8,3105.13,17.33,2295.15,12.81
1185,0.18,1.74,0.75,0.17,0.2,4347.24,24.26,584.2,3.26
1186,0.18,1.74,0.75,0.17,0.4,3942.9,22.01,1023.68,5.71
1187,0.18,1.74,0.75,0.17,0.6,3614.84,20.18,1562.93,8.72
1188,0.18,1.74,0.75,0.17,0.8,3353.88,18.72,2204.26,12.3
1189,0.18,1.74,0.75,0.25,0.2,4660.93,26.01,542.96,3.03
1190,0.18,1.74,0.75,0.25,0.4,4244.68,23.69,967.49,5.4
1191,0.18,1.74,0.75,0.25,0.6,3904.98,21.79,1491.45,8.32
1192,0.18,1.74,0.75,0.25,0.8,3636.4,20.3,2115.17,11.81
1193,0.18,1.74,0.75,0.32,0.2,4929,27.51,512.89,2.86
1194,0.18,1.74,0.75,0.32,0.4,4503.73,25.14,926.27,5.17
1195,0.18,1.74,0.75,0.32,0.6,4152.97,23.18,1438,8.03
1196,0.18,1.74,0.75,0.32,0.8,3878.97,21.65,2048.2,11.43
1197,0.18,1.74,0.75,0.4,0.2,5223.15,29.15,483.56,2.7
1198,0.18,1.74,0.75,0.4,0.4,4791.1,26.74,886.18,4.95
1199,0.18,1.74,0.75,0.4,0.6,4426.76,24.71,1385.66,7.73
1200,0.18,1.74,0.75,0.4,0.8,4146.19,23.14,1982.23,11.06
1201,0.18,2.07,0.35,0.1,0.2,4858.23,27.12,366.16,2.04
1202,0.18,2.07,0.35,0.1,0.4,4628.11,25.83,511.54,2.86
1203,0.18,2.07,0.35,0.1,0.6,4420.42,24.67,691.11,3.86
1204,0.18,2.07,0.35,0.1,0.8,4228.55,23.6,897.57,5.01
1205,0.18,2.07,0.35,0.17,0.2,5147,28.73,335.64,1.87
1206,0.18,2.07,0.35,0.17,0.4,4911.09,27.41,473.81,2.64
1207,0.18,2.07,0.35,0.17,0.6,4698.51,26.22,645.87,3.6
1208,0.18,2.07,0.35,0.17,0.8,4502.43,25.13,845.87,4.72
1209,0.18,2.07,0.35,0.25,0.2,5471.26,30.54,307.68,1.72
1210,0.18,2.07,0.35,0.25,0.4,5230.28,29.19,438.8,2.45
1211,0.18,2.07,0.35,0.25,0.6,5012.34,27.98,603.7,3.37
1212,0.18,2.07,0.35,0.25,0.8,4811.27,26.85,796.98,4.45
1213,0.18,2.07,0.35,0.32,0.2,5745.62,32.07,287.17,1.6
1214,0.18,2.07,0.35,0.32,0.4,5501.53,30.71,413.31,2.31
1215,0.18,2.07,0.35,0.32,0.6,5280.52,29.47,572.87,3.2
1216,0.18,2.07,0.35,0.32,0.8,5075.65,28.33,761.04,4.25
1217,0.18,2.07,0.35,0.4,0.2,6046.16,33.75,267.22,1.49
1218,0.18,2.07,0.35,0.4,0.4,5799.04,32.37,388.24,2.17
1219,0.18,2.07,0.35,0.4,0.6,5575.18,31.12,542.66,3.03
1220,0.18,2.07,0.35,0.4,0.8,5367.49,29.96,725.95,4.05
1221,0.18,2.07,0.43,0.1,0.2,4804.23,26.81,395.46,2.21
1222,0.18,2.07,0.43,0.1,0.4,4532.44,25.3,587.33,3.28
1223,0.18,2.07,0.43,0.1,0.6,4289.27,23.94,825.71,4.61
1224,0.18,2.07,0.43,0.1,0.8,4066.37,22.7,1098.42,6.13
1225,0.18,2.07,0.43,0.17,0.2,5091.67,28.42,363.45,2.03
1226,0.18,2.07,0.43,0.17,0.4,4813.17,26.86,546.29,3.05
1227,0.18,2.07,0.43,0.17,0.6,4564.56,25.48,776.15,4.33
1228,0.18,2.07,0.43,0.17,0.8,4336.68,24.2,1041.36,5.81
1229,0.18,2.07,0.43,0.25,0.2,5414.83,30.22,333.93,1.86
1230,0.18,2.07,0.43,0.25,0.4,5129.96,28.63,507.95,2.83
1231,0.18,2.07,0.43,0.25,0.6,4875.02,27.21,729.43,4.07
1232,0.18,2.07,0.43,0.25,0.8,4640.89,25.9,986.61,5.51
1233,0.18,2.07,0.43,0.32,0.2,5688.5,31.75,312.36,1.74
1234,0.18,2.07,0.43,0.32,0.4,5399.77,30.14,480.08,2.68
1235,0.18,2.07,0.43,0.32,0.6,5140.62,28.69,695.14,3.88
1236,0.18,2.07,0.43,0.32,0.8,4901.27,27.36,946.35,5.28
1237,0.18,2.07,0.43,0.4,0.2,5988.47,33.42,291.33,1.63
1238,0.18,2.07,0.43,0.4,0.4,5696.02,31.79,452.72,2.53
1239,0.18,2.07,0.43,0.4,0.6,5433.29,30.32,661.66,3.69
1240,0.18,2.07,0.43,0.4,0.8,5190.05,28.97,907.04,5.06
1241,0.18,2.07,0.51,0.1,0.2,4748.96,26.51,428.05,2.39
1242,0.18,2.07,0.51,0.1,0.4,4435.77,24.76,673.65,3.76
1243,0.18,2.07,0.51,0.1,0.6,4157.87,23.21,978.03,5.46
1244,0.18,2.07,0.51,0.1,0.8,3908.86,21.82,1327.76,7.41
1245,0.18,2.07,0.51,0.17,0.2,5035.09,28.1,394.45,2.2
1246,0.18,2.07,0.51,0.17,0.4,4714.26,26.31,629.04,3.51
1247,0.18,2.07,0.51,0.17,0.6,4430.18,24.73,923.98,5.16
1248,0.18,2.07,0.51,0.17,0.8,4175.14,23.3,1264.85,7.06
1249,0.18,2.07,0.51,0.25,0.2,5357.16,29.9,363.33,2.03
1250,0.18,2.07,0.51,0.25,0.4,5028.56,28.07,587.5,3.28
1251,0.18,2.07,0.51,0.25,0.6,4737.03,26.44,872.57,4.87
1252,0.18,2.07,0.51,0.25,0.8,4474.74,24.97,1203.62,6.72
1253,0.18,2.07,0.51,0.32,0.2,5630.05,31.42,340.58,1.9
1254,0.18,2.07,0.51,0.32,0.4,5297,29.56,557.14,3.11
1255,0.18,2.07,0.51,0.32,0.6,4999.74,27.9,834.8,4.66
1256,0.18,2.07,0.51,0.32,0.8,4730.3,26.4,1158.27,6.46
1257,0.18,2.07,0.51,0.4,0.2,5929.28,33.09,318.38,1.78
1258,0.18,2.07,0.51,0.4,0.4,5591.83,31.21,527.37,2.94
1259,0.18,2.07,0.51,0.4,0.6,5290.38,29.53,798,4.45
1260,0.18,2.07,0.51,0.4,0.8,5013.82,27.98,1114.32,6.22
1261,0.18,2.07,0.59,0.1,0.2,4699.38,26.23,459.81,2.57
1262,0.18,2.07,0.59,0.1,0.4,4350.13,24.28,758.84,4.24
1263,0.18,2.07,0.59,0.1,0.6,4042.42,22.56,1127.7,6.29
1264,0.18,2.07,0.59,0.1,0.8,3778.03,21.09,1556.41,8.69
1265,0.18,2.07,0.59,0.17,0.2,4984.18,27.82,424.65,2.37
1266,0.18,2.07,0.59,0.17,0.4,4626.74,25.82,711.3,3.97
1267,0.18,2.07,0.59,0.17,0.6,4312.21,24.07,1069.8,5.97
1268,0.18,2.07,0.59,0.17,0.8,4039.74,22.55,1487.56,8.3
1269,0.18,2.07,0.59,0.25,0.2,5305.15,29.61,392.07,2.19
1270,0.18,2.07,0.59,0.25,0.4,4938.6,27.56,666.69,3.72
1271,0.18,2.07,0.59,0.25,0.6,4615.67,25.76,1014.21,5.66
1272,0.18,2.07,0.59,0.25,0.8,4335.44,24.2,1420.86,7.93
1273,0.18,2.07,0.59,0.32,0.2,5577.38,31.13,368.26,2.06
1274,0.18,2.07,0.59,0.32,0.4,5205.3,29.05,634.02,3.54
1275,0.18,2.07,0.59,0.32,0.6,4875.39,27.21,973.3,5.43
1276,0.18,2.07,0.59,0.32,0.8,4587.14,25.6,1370.9,7.65
1277,0.18,2.07,0.59,0.4,0.2,5876.03,32.8,344.96,1.93
1278,0.18,2.07,0.59,0.4,0.4,5498.96,30.69,602.17,3.36
1279,0.18,2.07,0.59,0.4,0.6,5163.5,28.82,933.38,5.21
1280,0.18,2.07,0.59,0.4,0.8,4865.59,27.16,1322.13,7.38
1281,0.18,2.07,0.67,0.1,0.2,4645.58,25.93,497.1,2.77
1282,0.18,2.07,0.67,0.1,0.4,4257.53,23.76,858.31,4.79
1283,0.18,2.07,0.67,0.1,0.6,3921.73,21.89,1304.51,7.28
1284,0.18,2.07,0.67,0.1,0.8,3650.86,20.38,1831.43,10.22
1285,0.18,2.07,0.67,0.17,0.2,4929.01,27.51,460.09,2.57
1286,0.18,2.07,0.67,0.17,0.4,4532.13,25.3,807.74,4.51
1287,0.18,2.07,0.67,0.17,0.6,4188.28,23.38,1242,6.93
1288,0.18,2.07,0.67,0.17,0.8,3907.54,21.81,1754.43,9.79
1289,0.18,2.07,0.67,0.25,0.2,5248.66,29.29,425.75,2.38
1290,0.18,2.07,0.67,0.25,0.4,4841.71,27.02,760.01,4.24
1291,0.18,2.07,0.67,0.25,0.6,4488.2,25.05,1181.29,6.59
1292,0.18,2.07,0.67,0.25,0.8,4198.14,23.43,1680.3,9.38
1293,0.18,2.07,0.67,0.32,0.2,5520.11,30.81,400.75,2.24
1294,0.18,2.07,0.67,0.32,0.4,5106.7,28.5,724.95,4.05
1295,0.18,2.07,0.67,0.32,0.6,4744.14,26.48,1136.41,6.34
1296,0.18,2.07,0.67,0.32,0.8,4445.75,24.81,1624.92,9.07
1297,0.18,2.07,0.67,0.4,0.2,5817.89,32.47,376.16,2.1
1298,0.18,2.07,0.67,0.4,0.4,5398.89,30.13,690.75,3.86
1299,0.18,2.07,0.67,0.4,0.6,5028.13,28.06,1092.93,6.1
1300,0.18,2.07,0.67,0.4,0.8,4718.22,26.33,1570.21,8.76
1301,0.18,2.07,0.75,0.1,0.2,4599.78,25.67,531.47,2.97
1302,0.18,2.07,0.75,0.1,0.4,4179.42,23.33,949.67,5.3
1303,0.18,2.07,0.75,0.1,0.6,3823.89,21.34,1468.08,8.19
1304,0.18,2.07,0.75,0.1,0.8,3546.36,19.79,2087.95,11.65
1305,0.18,2.07,0.75,0.17,0.2,4882.19,27.25,492.83,2.75
1306,0.18,2.07,0.75,0.17,0.4,4452.21,24.85,896.42,5
1307,0.18,2.07,0.75,0.17,0.6,4087.39,22.81,1401.58,7.82
1308,0.18,2.07,0.75,0.17,0.8,3800.78,21.21,2004.35,11.19
1309,0.18,2.07,0.75,0.25,0.2,5200.58,29.03,456.88,2.55
1310,0.18,2.07,0.75,0.25,0.4,4759.66,26.56,845.83,4.72
1311,0.18,2.07,0.75,0.25,0.6,4384.69,24.47,1337.05,7.46
1312,0.18,2.07,0.75,0.25,0.8,4088.92,22.82,1923.43,10.74
1313,0.18,2.07,0.75,0.32,0.2,5471.38,30.54,430.75,2.4
1314,0.18,2.07,0.75,0.32,0.4,5022.89,28.03,808.71,4.51
1315,0.18,2.07,0.75,0.32,0.6,4637.69,25.88,1288.73,7.19
1316,0.18,2.07,0.75,0.32,0.8,4334.79,24.19,1862.89,10.4
1317,0.18,2.07,0.75,0.4,0.2,5768.47,32.2,405.08,2.26
1318,0.18,2.07,0.75,0.4,0.4,5313.91,29.66,772.52,4.31
1319,0.18,2.07,0.75,0.4,0.6,4917.92,27.45,1241.64,6.93
1320,0.18,2.07,0.75,0.4,0.8,4604.75,25.7,1803.42,10.07
1321,0.18,2.4,0.35,0.1,0.2,5420.2,30.25,307.54,1.72
1322,0.18,2.4,0.35,0.1,0.4,5171.87,28.87,434.86,2.43
1323,0.18,2.4,0.35,0.1,0.6,4949.09,27.62,596.46,3.33
1324,0.18,2.4,0.35,0.1,0.8,4745.12,26.48,788.48,4.4
1325,0.18,2.4,0.35,0.17,0.2,5712.71,31.88,281.12,1.57
1326,0.18,2.4,0.35,0.17,0.4,5459.63,30.47,401.95,2.24
1327,0.18,2.4,0.35,0.17,0.6,5231.4,29.2,556.4,3.11
1328,0.18,2.4,0.35,0.17,0.8,5022.81,28.03,741.47,4.14
1329,0.18,2.4,0.35,0.25,0.2,6039.94,33.71,256.61,1.43
1330,0.18,2.4,0.35,0.25,0.4,5783.39,32.28,371.46,2.07
1331,0.18,2.4,0.35,0.25,0.6,5550.13,30.98,518.9,2.9
1332,0.18,2.4,0.35,0.25,0.8,5336.55,29.78,697.26,3.89
1333,0.18,2.4,0.35,0.32,0.2,6316.45,35.25,238.42,1.33
1334,0.18,2.4,0.35,0.32,0.4,6057.52,33.81,349.01,1.95
1335,0.18,2.4,0.35,0.32,0.6,5821.31,32.49,491.6,2.74
1336,0.18,2.4,0.35,0.32,0.8,5604.59,31.28,664.93,3.71
1337,0.18,2.4,0.35,0.4,0.2,6618.8,36.94,220.82,1.23
1338,0.18,2.4,0.35,0.4,0.4,6357.7,35.48,327.07,1.83
1339,0.18,2.4,0.35,0.4,0.6,6118.73,34.15,464.65,2.59
1340,0.18,2.4,0.35,0.4,0.8,5899.47,32.93,633.24,3.53
1341,0.18,2.4,0.43,0.1,0.2,5362.1,29.93,333.2,1.86
1342,0.18,2.4,0.43,0.1,0.4,5068.57,28.29,502.28,2.8
1343,0.18,2.4,0.43,0.1,0.6,4809.17,26.84,721.01,4.02
1344,0.18,2.4,0.43,0.1,0.8,4571.99,25.52,979.11,5.46
1345,0.18,2.4,0.43,0.17,0.2,5653.88,31.56,305.44,1.7
1346,0.18,2.4,0.43,0.17,0.4,5353.79,29.88,466.23,2.6
1347,0.18,2.4,0.43,0.17,0.6,5088.17,28.4,676.17,3.77
1348,0.18,2.4,0.43,0.17,0.8,4846.32,27.05,926.68,5.17
1349,0.18,2.4,0.43,0.25,0.2,5980.5,33.38,279.81,1.56
1350,0.18,2.4,0.43,0.25,0.4,5675.26,31.68,432.71,2.42
1351,0.18,2.4,0.43,0.25,0.6,5403.56,30.16,634.31,3.54
1352,0.18,2.4,0.43,0.25,0.8,5155.89,28.78,876.78,4.89
1353,0.18,2.4,0.43,0.32,0.2,6256.58,34.92,260.81,1.46
1354,0.18,2.4,0.43,0.32,0.4,5948.09,33.2,408.1,2.28
1355,0.18,2.4,0.43,0.32,0.6,5672.73,31.66,603.66,3.37
1356,0.18,2.4,0.43,0.32,0.8,5420.72,30.25,839.95,4.69
1357,0.18,2.4,0.43,0.4,0.2,6558.57,36.61,242.3,1.35
1358,0.18,2.4,0.43,0.4,0.4,6247.05,34.87,383.92,2.14
1359,0.18,2.4,0.43,0.4,0.6,5968.41,33.31,573.44,3.2
1360,0.18,2.4,0.43,0.4,0.8,5713.04,31.89,803.93,4.49
1361,0.18,2.4,0.51,0.1,0.2,5304.9,29.61,360.36,2.01
1362,0.18,2.4,0.51,0.1,0.4,4969.54,27.74,576.75,3.22
1363,0.18,2.4,0.51,0.1,0.6,4675.18,26.09,857.7,4.79
1364,0.18,2.4,0.51,0.1,0.8,4408.4,24.6,1186.69,6.62
1365,0.18,2.4,0.51,0.17,0.2,5595.7,31.23,331.14,1.85
1366,0.18,2.4,0.51,0.17,0.4,5252.4,29.32,537.51,3
1367,0.18,2.4,0.51,0.17,0.6,4951.67,27.64,808.57,4.51
1368,0.18,2.4,0.51,0.17,0.8,4679.16,26.12,1128.71,6.3
1369,0.18,2.4,0.51,0.25,0.2,5921.65,33.05,304.27,1.7
1370,0.18,2.4,0.51,0.25,0.4,5571.61,31.1,500.79,2.8
1371,0.18,2.4,0.51,0.25,0.6,5263.77,29.38,762.15,4.25
1372,0.18,2.4,0.51,0.25,0.8,4983.84,27.82,1073.19,5.99
1373,0.18,2.4,0.51,0.32,0.2,6197.17,34.59,284.39,1.59
1374,0.18,2.4,0.51,0.32,0.4,5843.03,32.61,474.06,2.65
1375,0.18,2.4,0.51,0.32,0.6,5530.53,30.87,728.05,4.06
1376,0.18,2.4,0.51,0.32,0.8,5244.77,29.27,1032.34,5.76
1377,0.18,2.4,0.51,0.4,0.2,6498.75,36.27,264.98,1.48
1378,0.18,2.4,0.51,0.4,0.4,6140.69,34.27,447.67,2.5
1379,0.18,2.4,0.51,0.4,0.6,5824.42,32.51,694.81,3.88
1380,0.18,2.4,0.51,0.4,0.8,5533.87,30.89,992.32,5.54
1381,0.18,2.4,0.59,0.1,0.2,5252.14,29.31,387.63,2.16
1382,0.18,2.4,0.59,0.1,0.4,4879.35,27.23,653.36,3.65
1383,0.18,2.4,0.59,0.1,0.6,4553.7,25.42,997.11,5.57
1384,0.18,2.4,0.59,0.1,0.8,4264.81,23.8,1400.2,7.81
1385,0.18,2.4,0.59,0.17,0.2,5541.67,30.93,357.03,1.99
1386,0.18,2.4,0.59,0.17,0.4,5160.03,28.8,611.06,3.41
1387,0.18,2.4,0.59,0.17,0.6,4827.62,26.94,944.15,5.27
1388,0.18,2.4,0.59,0.17,0.8,4532.02,25.29,1337.3,7.46
1389,0.18,2.4,0.59,0.25,0.2,5866.91,32.74,328.81,1.84
1390,0.18,2.4,0.59,0.25,0.4,5477.17,30.57,571.48,3.19
1391,0.18,2.4,0.59,0.25,0.6,5136.69,28.67,893.72,4.99
1392,0.18,2.4,0.59,0.25,0.8,4832.98,26.97,1276.03,7.12
1393,0.18,2.4,0.59,0.32,0.2,6141.87,34.28,307.96,1.72
1394,0.18,2.4,0.59,0.32,0.4,5747.36,32.08,542.52,3.03
1395,0.18,2.4,0.59,0.32,0.6,5401.12,30.15,856.49,4.78
1396,0.18,2.4,0.59,0.32,0.8,5089.47,28.41,1230.45,6.87
1397,0.18,2.4,0.59,0.4,0.2,6442.9,35.96,287.63,1.61
1398,0.18,2.4,0.59,0.4,0.4,6043.9,33.73,514.06,2.87
1399,0.18,2.4,0.59,0.4,0.6,5693.16,31.78,820.11,4.58
1400,0.18,2.4,0.59,0.4,0.8,5373.9,29.99,1186.24,6.62
1401,0.18,2.4,0.67,0.1,0.2,5194.46,28.99,419.86,2.34
1402,0.18,2.4,0.67,0.1,0.4,4781.75,26.69,744.79,4.16
1403,0.18,2.4,0.67,0.1,0.6,4423.58,24.69,1162.26,6.49
1404,0.18,2.4,0.67,0.1,0.8,4118.16,22.98,1655.9,9.24
1405,0.18,2.4,0.67,0.17,0.2,5482.67,30.6,387.65,2.16
1406,0.18,2.4,0.67,0.17,0.4,5060.13,28.24,699.09,3.9
1407,0.18,2.4,0.67,0.17,0.6,4694.65,26.2,1104.92,6.17
1408,0.18,2.4,0.67,0.17,0.8,4380.72,24.45,1586.67,8.86
1409,0.18,2.4,0.67,0.25,0.2,5806.84,32.41,357.92,2
1410,0.18,2.4,0.67,0.25,0.4,5374.79,30,656.36,3.66
1411,0.18,2.4,0.67,0.25,0.6,4999.73,27.9,1050.03,5.86
1412,0.18,2.4,0.67,0.25,0.8,4677.55,26.11,1519.6,8.48
1413,0.18,2.4,0.67,0.32,0.2,6081.18,33.94,335.99,1.88
1414,0.18,2.4,0.67,0.32,0.4,5643.49,31.5,625.13,3.49
1415,0.18,2.4,0.67,0.32,0.6,5261.07,29.36,1009.61,5.63
1416,0.18,2.4,0.67,0.32,0.8,4930.07,27.52,1469.19,8.2
1417,0.18,2.4,0.67,0.4,0.2,6381.59,35.62,314.57,1.76
1418,0.18,2.4,0.67,0.4,0.4,5938.78,33.15,594.37,3.32
1419,0.18,2.4,0.67,0.4,0.6,5550.58,30.98,970,5.41
1420,0.18,2.4,0.67,0.4,0.8,5209.22,29.07,1419.79,7.92
1421,0.18,2.4,0.75,0.1,0.2,5145.87,28.72,449.25,2.51
1422,0.18,2.4,0.75,0.1,0.4,4700.31,26.23,828.5,4.62
1423,0.18,2.4,0.75,0.1,0.6,4317.85,24.1,1314.32,7.34
1424,0.18,2.4,0.75,0.1,0.8,4006.43,22.36,1893.68,10.57
1425,0.18,2.4,0.75,0.17,0.2,5432.97,30.32,415.67,2.32
1426,0.18,2.4,0.75,0.17,0.4,4977.27,27.78,780.26,4.35
1427,0.18,2.4,0.75,0.17,0.6,4586.34,25.6,1253.24,6.99
1428,0.18,2.4,0.75,0.17,0.8,4264.67,23.8,1817.81,10.15
1429,0.18,2.4,0.75,0.25,0.2,5756.2,32.13,384.55,2.15
1430,0.18,2.4,0.75,0.25,0.4,5289.91,29.52,734.73,4.1
1431,0.18,2.4,0.75,0.25,0.6,4888.57,27.28,1193.89,6.66
1432,0.18,2.4,0.75,0.25,0.8,4557.31,25.44,1744.69,9.74
1433,0.18,2.4,0.75,0.32,0.2,6030.06,33.66,361.68,2.02
1434,0.18,2.4,0.75,0.32,0.4,5557.1,31.02,701.36,3.91
1435,0.18,2.4,0.75,0.32,0.6,5146.69,28.73,1150.25,6.42
1436,0.18,2.4,0.75,0.32,0.8,4806.88,26.83,1690.17,9.43
1437,0.18,2.4,0.75,0.4,0.2,6329.98,35.33,339.23,1.89
1438,0.18,2.4,0.75,0.4,0.4,5851.33,32.66,668.79,3.73
1439,0.18,2.4,0.75,0.4,0.6,5432.98,30.32,1107.85,6.18
1440,0.18,2.4,0.75,0.4,0.8,5081.48,28.36,1636.27,9.13
1441,0.26,0.75,0.35,0.1,0.2,3529.26,19.7,615.3,3.43
1442,0.26,0.75,0.35,0.1,0.4,3349.53,18.69,810.61,4.52
1443,0.26,0.75,0.35,0.1,0.6,3184.94,17.78,1026.57,5.73
1444,0.26,0.75,0.35,0.1,0.8,3042.79,16.98,1264.62,7.06
1445,0.26,0.75,0.35,0.17,0.2,3806.12,21.24,572.88,3.2
1446,0.26,0.75,0.35,0.17,0.4,3620.84,20.21,761.32,4.25
1447,0.26,0.75,0.35,0.17,0.6,3450.54,19.26,970.79,5.42
1448,0.26,0.75,0.35,0.17,0.8,3301.49,18.43,1201.44,6.71
1449,0.26,0.75,0.35,0.25,0.2,4118.39,22.99,532.98,2.97
1450,0.26,0.75,0.35,0.25,0.4,3927.83,21.92,715.05,3.99
1451,0.26,0.75,0.35,0.25,0.6,3750.77,20.93,917.9,5.12
1452,0.26,0.75,0.35,0.25,0.8,3593.63,20.06,1140.83,6.37
1453,0.26,0.75,0.35,0.32,0.2,4381.7,24.46,503.6,2.81
1454,0.26,0.75,0.35,0.32,0.4,4188.16,23.38,680.92,3.8
1455,0.26,0.75,0.35,0.32,0.6,4006.87,22.36,878.92,4.91
1456,0.26,0.75,0.35,0.32,0.8,3842.92,21.45,1096.4,6.12
1457,0.26,0.75,0.35,0.4,0.2,4669.4,26.06,474.54,2.65
1458,0.26,0.75,0.35,0.4,0.4,4473.38,24.97,647.32,3.61
1459,0.26,0.75,0.35,0.4,0.6,4289.37,23.94,840.84,4.69
1460,0.26,0.75,0.35,0.4,0.8,4119.51,22.99,1053.1,5.88
