Version,window_u,shgc,roof_u,extWall_u,transmittance,total_idealHeating,total_idealCooling
2481,3,0.8,0.38,0.34,0.6,49502.6341482965,20135.8463113545
2482,2,0.24,0.66,0.46,0.6,58202.1271573192,12826.6896837523
2483,3,0.52,0.38,0.1,0.2,49649.2572611206,13456.1864672544
2484,3,0.52,0.1,0.34,0.2,52638.9224266456,13325.1327645945
2485,0.5,0.52,0.24,0.22,0.2,34663.4566465747,14434.8882763492
2486,2,0.24,0.1,0.58,0.6,55364.5366922301,12235.2805512845
2487,0.5,0.52,0.52,0.34,0.4,39540.5876136072,16486.7045188231
2488,2,0.66,0.38,0.1,0.2,41755.3276712057,15418.52197754
2489,2.5,0.24,0.1,0.22,0.2,51353.5614679576,10148.1273507438
2490,0.5,0.24,0.52,0.22,0.2,41535.5538881962,11102.3554116611
2491,1,0.8,0.66,0.1,0.2,36087.2464535072,17895.5295045762
2492,0.5,0.52,0.66,0.34,0.6,40122.3746998492,17995.9010354581
2493,1,0.8,0.66,0.1,0.6,34362.2651213202,21082.7820608212
2494,2,0.66,0.52,0.7,0.2,56551.4237701494,15953.0398397962
2495,2.5,0.52,0.8,0.22,0.6,51892.2350485823,17043.7037151001
2496,3,0.66,0.52,0.34,0.4,53751.9504279759,17068.2804461732
2497,1,0.1,0.24,0.46,0.6,50355.8298985643,9899.16582809532
2498,0.5,0.1,0.66,0.34,0.2,48049.6481856046,9747.27329785377
2499,2.5,0.1,0.38,0.46,0.2,62517.7152941586,9447.57537681255
2500,1,0.24,0.38,0.22,0.4,43624.8546250479,11596.9305254376
2501,2.5,0.38,0.52,0.22,0.2,53242.1980340775,12305.6984235931
2502,1.5,0.8,0.24,0.46,0.6,41849.031360028,20589.2218544803
2503,2.5,0.52,0.1,0.1,0.6,42164.4222564086,16283.2171891862
2504,3,0.52,0.1,0.34,0.2,52638.9224266456,13325.1327645945
2505,3,0.24,0.66,0.22,0.6,58674.9437905259,12359.3187674291
2506,3,0.66,0.66,0.1,0.2,50245.039075075,15360.7973933462
2507,1.5,0.8,0.8,0.7,0.2,53907.7655174135,17808.1235534944
2508,3,0.38,0.24,0.34,0.4,55532.2046768222,13140.9775039463
2509,2,0.52,0.8,0.22,0.4,49633.6920112639,15859.3670381753
2510,3,0.38,0.24,0.1,0.6,48960.3650342271,14036.3386774051
2511,0.5,0.38,0.1,0.22,0.6,33875.085185408,15010.04220464
2512,1.5,0.1,0.66,0.22,0.4,52599.108561393,9710.52431679231
2513,1,0.66,0.66,0.22,0.4,39821.621482211,18129.8933102656
2514,3,0.66,0.8,0.7,0.6,62844.9408842499,18883.3594999914
2515,0.5,0.8,0.38,0.1,0.4,28956.3704319122,19931.1219981158
2516,2,0.38,0.52,0.1,0.6,45724.230279801,14710.8168457612
2517,2.5,0.8,0.66,0.46,0.2,53999.044777168,17196.7371799232
2518,2,0.1,0.8,0.7,0.2,68018.5213485546,10391.1593403717
2519,0.5,0.24,0.38,0.7,0.2,50899.8892840477,11569.2203659904
2520,3,0.8,0.1,0.46,0.4,50207.066606284,18300.8413374693
2521,2.5,0.66,0.8,0.22,0.2,51582.2756078181,15735.3293466339
2522,2,0.38,0.52,0.46,0.2,55703.6324894152,12712.6836412973
2523,2,0.8,0.38,0.34,0.2,45756.1129232923,17074.6373008874
2524,1,0.66,0.1,0.22,0.4,34202.7271794378,17587.6506150164
2525,2.5,0.24,0.8,0.1,0.2,54944.8305151258,10909.1346592201
2526,2.5,0.52,0.8,0.7,0.4,63101.7578767333,16015.5214548194
2527,0.5,0.1,0.8,0.46,0.4,51759.6976890802,10469.5641767493
2528,1,0.8,0.24,0.58,0.2,42893.2379157482,17508.4669959486
2529,1.5,0.24,0.52,0.1,0.6,45023.3555861905,12308.6067717827
2530,1.5,0.38,0.24,0.1,0.4,40343.9913929087,13269.9600765085
2531,0.5,0.1,0.38,0.7,0.2,53311.6003083077,9963.88977577951
2532,1.5,0.52,0.24,0.58,0.4,49251.4505441479,15675.9392534708
2533,2.5,0.52,0.38,0.46,0.4,54412.0774760903,15405.6089689865
2534,1,0.8,0.24,0.22,0.4,33980.367867618,19433.5754658165
2535,1.5,0.52,0.1,0.1,0.6,35873.6544960344,16791.8112655012
2536,2,0.66,0.1,0.58,0.2,49918.1176083666,15351.4321226747
2537,0.5,0.52,0.66,0.22,0.6,37339.1535900405,18001.2213036496
2538,3,0.8,0.8,0.34,0.2,55343.8947732521,17090.8318095899
2539,2,0.1,0.8,0.1,0.6,53917.982741692,9855.65417757921
2540,3,0.8,0.66,0.34,0.4,53019.0385605036,18796.1791482874
2541,1,0.52,0.52,0.46,0.2,46790.4423632434,14644.2713016776
2542,2.5,0.1,0.8,0.1,0.6,57120.2816639725,9797.56561999434
2543,2,0.24,0.66,0.58,0.2,61812.0657046613,11541.1169236175
2544,2.5,0.8,0.24,0.58,0.6,50456.5680269858,20218.6393515225
2545,1,0.38,0.1,0.34,0.2,41898.4765466931,12213.6896288804
2546,1.5,0.66,0.1,0.46,0.4,43130.5531952553,17273.4634032845
2547,1.5,0.8,0.38,0.46,0.4,44170.1008287363,19204.3551573709
2548,1,0.24,0.52,0.7,0.4,55630.9114792036,12408.0001623986
2549,1.5,0.24,0.38,0.1,0.6,43674.501795238,12121.5281538723
2550,2,0.66,0.66,0.7,0.6,55875.888463879,19099.87977999
2551,1,0.24,0.66,0.1,0.6,42725.888366985,12671.1124529836
2552,1,0.38,0.8,0.22,0.6,44520.174632701,15476.1828111817
2553,0.5,0.52,0.24,0.46,0.6,38709.2787126514,17625.6499093724
2554,0.5,0.52,0.8,0.7,0.4,49619.5661661354,16842.6990390134
2555,0.5,0.52,0.8,0.58,0.4,47215.7129650606,16802.5464568134
2556,0.5,0.1,0.24,0.46,0.6,46333.4094422741,10037.6725616133
2557,3,0.24,0.52,0.58,0.6,65557.7464278656,12677.0074349361
2558,1,0.24,0.24,0.34,0.6,44614.438837601,12396.4658581375
2559,1.5,0.38,0.52,0.46,0.6,51072.1271305477,15106.6232351227
2560,1,0.38,0.8,0.46,0.2,51362.8058173018,13270.1732554614
2561,2.5,0.52,0.38,0.7,0.6,58584.8611470246,16888.9320078895
2562,1,0.1,0.38,0.58,0.4,54591.647277302,10014.3758735572
2563,2.5,0.66,0.8,0.22,0.2,51582.2756078181,15735.3293466339
2564,1.5,0.8,0.66,0.58,0.2,50331.8385667094,17657.9107881876
2565,2,0.8,0.8,0.7,0.2,57096.2611264055,17602.2540435875
2566,2,0.1,0.52,0.34,0.2,57897.0558254899,9433.36984748371
2567,1.5,0.8,0.52,0.58,0.4,48006.5566471474,19339.90393593
2568,2,0.52,0.66,0.1,0.4,45443.3904370828,15672.8060046871
2569,0.5,0.1,0.24,0.22,0.6,40624.1261764193,9635.31604224929
2570,0.5,0.24,0.38,0.46,0.6,44872.563285611,12953.0453802857
2571,2.5,0.1,0.1,0.58,0.6,61819.6410819254,9682.90902607533
2572,2,0.66,0.52,0.58,0.2,54136.9991532965,15874.0984881689
2573,2.5,0.8,0.66,0.7,0.2,58912.8062111089,17314.4621180776
2574,2.5,0.8,0.38,0.22,0.6,43955.1243280484,20302.8573262894
2575,2,0.38,0.24,0.1,0.6,42946.0698064378,14360.362701974
2576,2,0.24,0.38,0.58,0.6,58226.1612890124,12633.1009387899
2577,1.5,0.66,0.8,0.34,0.2,48158.7131058286,16209.2114219805
2578,3,0.8,0.52,0.1,0.6,45131.3014256965,20224.16123601
2579,3,0.66,0.8,0.46,0.4,58839.7788951233,17367.5376825217
2580,2.5,0.66,0.52,0.1,0.2,46132.6135233355,15379.102383342
2581,2,0.8,0.1,0.46,0.4,44415.2333836193,18704.9461136595
2582,3,0.1,0.52,0.22,0.4,60976.0597742182,9451.72437010234
2583,2.5,0.24,0.1,0.22,0.6,50282.2877418998,11664.2191138113
2584,1,0.8,0.52,0.34,0.6,38670.2280773905,21000.3785396683
2585,1.5,0.66,0.52,0.22,0.2,42871.2363274757,15879.4288427947
