Version,window_u,shgc,roof_u,extWall_u,transmittance,total_idealHeating,total_idealCooling,total_solarRad,,total_idealHeating(per m2),total_idealCooling (per m2)
baseline,1.3396,0.275,0.1587,0.2073,,18079.993803,1540.439125,3313.518198,,95.6411013700804,8.1487469583157
1,1.38,0.1,0.1,0.5,0.8,22758.52471,1184.054536,631.567199,,120.389995292002,6.2635132035548
2,0.84,0.23,0.475,0.34,0.8,21495.37046,1680.264466,2092.72159,,113.708053639441,8.88840703554803
3,0.3,0.62,0.225,0.34,0.2,17335.53814,2293.202425,6220.89462,,91.7030159754549,12.1307788034278
4,1.38,0.36,0.35,0.18,0.4,20178.01309,1702.670617,3228.942246,,106.739383675413,9.00693301417689
5,1.38,0.1,0.35,0.5,0.4,24379.5348,1228.852927,497.8088828,,128.964953449006,6.50049157321202
6,0.84,0.23,0.6,0.5,0.8,23477.71504,1765.474212,2092.72159,,124.194429961913,9.33915685569192
7,0.3,0.49,0.225,0.5,0.4,18962.2322,2192.203807,5261.525804,,100.3080416843,11.5965076544647
8,1.38,0.49,0.1,0.5,0.6,20520.24491,2170.072688,5854.827032,,108.549750899281,11.4794365636902
9,1.38,0.23,0.35,0.1,0.2,20235.78461,1286.540597,1462.967073,,107.04498841515,6.80565275603047
10,1.92,0.62,0.475,0.42,0.6,22682.71189,2550.081706,7776.619042,,119.988954136691,13.4896408484977
11,1.92,0.62,0.475,0.34,0.2,22506.84649,2186.440899,6218.302699,,119.058646265341,11.5660225296234
12,0.3,0.62,0.6,0.18,0.8,17425.36346,2903.16832,8566.144897,,92.1781816546763,15.3574286923402
13,1.92,0.62,0.6,0.5,0.6,23988.55106,2595.404306,7776.619042,,126.896694138807,13.729392223868
14,1.38,0.1,0.6,0.1,0.2,22369.31027,1141.474623,430.9297248,,118.33109537664,6.03827032903089
15,1.92,0.23,0.1,0.42,0.6,22387.62677,1444.448745,2009.625859,,118.427987568769,7.64096881612357
16,0.84,0.36,0.225,0.42,0.4,20279.25491,1767.077514,3229.919707,,107.274941335167,9.34763814007618
17,0.84,0.1,0.225,0.42,0.2,21791.40857,1131.228894,430.851903,,115.274061415573,5.98407159331359
18,2.46,0.36,0.35,0.1,0.6,21404.23982,1750.516602,3791.760555,,113.225982966568,9.26003280787135
19,2.46,0.75,0.225,0.18,0.8,19381.57832,2867.68174,10698.44973,,102.52633474397,15.1697087388912
20,1.92,0.36,0.35,0.42,0.4,23368.56362,1748.425171,3394.104642,,123.617031421921,9.24896937685146
21,2.46,0.36,0.1,0.1,0.6,19816.05129,1656.375402,3791.760555,,104.824647111722,8.76203661658908
22,3,0.1,0.1,0.5,0.6,25983.69968,1144.38507,602.2866672,,137.450802369869,6.05366626110876
23,1.92,0.36,0.475,0.26,0.2,22905.77194,1626.768772,2994.569285,,121.168916314008,8.60542092678798
24,1.92,0.1,0.35,0.5,0.2,25578.90374,1194.462358,463.0824668,,135.309478099873,6.31856939272112
25,0.84,0.62,0.35,0.26,0.2,18757.68026,2250.426903,6220.110539,,99.2259852941177,11.9045011796445
26,0.84,0.36,0.1,0.1,0.6,16347.67118,1768.489932,3618.244259,,86.4773126322472,9.35510966991113
27,1.38,0.1,0.1,0.42,0.8,22113.49916,1156.341976,631.567199,,116.977883834109,6.11691692763436
28,3,0.36,0.35,0.1,0.2,22754.48384,1492.180628,2993.230601,,120.368619551418,7.8934650232755
29,2.46,0.75,0.6,0.34,0.6,23168.90498,2820.202434,9733.971976,,122.560860029623,14.9185486352095
30,2.46,0.36,0.6,0.18,0.8,23414.08273,1952.806489,4190.66943,,123.857822312738,10.330123196149
31,2.46,0.62,0.225,0.5,0.8,22671.86317,2577.99336,8551.60683,,119.931565647482,13.6372903089293
32,0.3,0.49,0.1,0.42,0.2,17691.97586,1952.707623,4664.087531,,93.588530787135,10.3296002063055
33,0.84,0.1,0.475,0.1,0.8,20218.62341,1203.96309,631.2559117,,106.954207628015,6.36882717943292
34,1.92,0.1,0.1,0.26,0.4,22025.78978,1043.070712,532.588153,,116.513911235717,5.51772488362251
35,1.92,0.62,0.225,0.26,0.6,19837.96322,2456.631989,7776.619042,,104.940558717732,12.9953025232755
36,0.84,0.1,0.475,0.26,0.2,21875.53939,1168.074378,430.851903,,115.719103840457,6.17897999365214
37,1.92,0.62,0.6,0.42,0.6,23353.37995,2585.713428,7776.619042,,123.536711542531,13.6781285865425
38,1.38,0.75,0.6,0.42,0.2,22270.44649,2547.272044,7806.95799,,117.808117276767,13.474778057554
39,0.84,0.1,0.35,0.18,0.6,20316.60351,1158.082545,564.4545755,,107.472511161659,6.12612433876428
40,3,0.1,0.475,0.18,0.2,25658.65806,1124.829513,463.1467429,,135.731369339822,5.95021959902666
41,1.38,0.49,0.225,0.34,0.2,20437.83644,1863.934866,4662.708516,,108.113819509099,9.86000246508676
42,1.92,0.36,0.1,0.18,0.2,19905.19751,1457.769244,2994.569285,,105.296220429539,7.71143273381295
43,3,0.36,0.225,0.42,0.6,24418.15295,1771.638125,3789.623947,,129.169239049937,9.37176325116378
44,0.3,0.75,0.475,0.34,0.6,17881.81284,3007.499077,9744.675557,,94.5927467202708,15.9093264758781
45,1.38,0.36,0.6,0.5,0.4,24284.72197,1874.333181,3228.942246,,128.463404411765,9.91500836330935
46,2.46,0.49,0.475,0.5,0.6,24900.80489,2219.713455,5607.957088,,131.722412663986,11.7420305490901
47,0.3,0.62,0.225,0.5,0.2,18685.95798,2312.297966,6220.89462,,98.8465826280152,12.2317920334321
48,1.92,0.62,0.35,0.1,0.6,19127.80707,2477.957461,7776.619042,,101.183913827761,13.1081118334744
49,1.92,0.23,0.1,0.42,0.2,22663.3554,1295.115997,1573.189732,,119.886560516293,6.85101564219213
50,2.46,0.75,0.225,0.26,0.6,20322.52833,2711.352202,9733.971976,,107.50385278248,14.3427433453237
51,3,0.23,0.475,0.34,0.4,26088.47268,1465.582712,1790.035734,,138.005039568345,7.75276508675413
52,0.3,0.75,0.475,0.1,0.2,16185.2315,2624.440789,7808.584331,,85.6180252856538,13.8829919011849
53,0.84,0.1,0.475,0.26,0.6,21751.85383,1235.315314,564.4545755,,115.064821360559,6.53467686203978
54,1.38,0.62,0.475,0.34,0.4,21151.44453,2425.528123,6999.354063,,111.888724767245,12.8307666261109
55,3,0.1,0.6,0.18,0.6,26195.15708,1209.786617,602.2866672,,138.569387854422,6.39963297185781
56,1.92,0.49,0.6,0.26,0.2,23002.93811,1941.995686,4453.853084,,121.682914250952,10.2729352835379
57,0.3,0.49,0.225,0.5,0.8,18575.08128,2482.89465,6456.402351,,98.2600575539568,13.1342289991536
58,2.46,0.23,0.1,0.5,0.4,24210.05786,1384.699022,1790.789256,,128.0684398011,7.32489960854846
59,2.46,0.23,0.225,0.34,0.4,23700.11387,1381.983848,1790.789256,,125.370894360982,7.3105366483284
60,1.92,0.62,0.6,0.34,0.2,23176.02565,2225.516844,6218.302699,,122.598527560305,11.772729813796
61,1.38,0.1,0.6,0.1,0.2,22369.31027,1141.474623,430.9297248,,118.33109537664,6.03827032903089
62,0.3,0.49,0.475,0.34,0.6,18913.63761,2409.050194,5858.964078,,100.050981855692,12.7436002644943
63,1.92,0.62,0.6,0.26,0.6,22006.30413,2567.38736,7776.619042,,116.410834373678,13.5811857807871
64,0.84,0.23,0.475,0.34,0.4,21725.25114,1521.522498,1673.021498,,114.924096170123,8.04868016292848
65,1.38,0.62,0.35,0.18,0.2,19255.03112,2170.569321,6219.249295,,101.856914515446,11.4820636955142
66,0.84,0.1,0.35,0.1,0.4,19619.30958,1092.289246,497.6532392,,103.783905945832,5.77808530469742
67,0.84,0.62,0.1,0.34,0.4,17615.09297,2371.734717,7001.076551,,93.1818290837918,12.5462056548879
68,1.38,0.1,0.1,0.34,0.2,21613.02511,1046.202918,430.9297248,,114.330433294541,5.53429389547186
69,3,0.1,0.6,0.26,0.2,26994.21275,1196.232982,463.1467429,,142.796301047397,6.32793579136691
70,0.84,0.75,0.225,0.1,0.8,15265.27367,3049.639599,10709.6115,,80.7515534807448,16.1322450222175
71,1.38,0.75,0.475,0.34,0.6,20400.47329,2884.107628,9739.796535,,107.916172714769,15.2565998095641
72,0.84,0.1,0.1,0.1,0.8,17910.93356,1054.925235,631.2559117,,94.7467920016928,5.58043395577656
73,1.38,0.1,0.1,0.1,0.4,19359.47663,983.1140663,497.8088828,,102.409419329243,5.2005610786077
74,1.92,0.49,0.6,0.26,0.8,22413.86437,2370.859134,6189.021128,,118.56678147482,12.5415739208633
75,1.92,0.49,0.225,0.34,0.2,21560.8662,1827.163054,4453.853084,,114.054518620398,9.66548378121033
76,0.3,0.49,0.35,0.5,0.4,19727.80069,2235.117776,5261.525804,,104.357811521371,11.8235176470588
77,3,0.1,0.35,0.5,0.2,27581.36539,1196.433445,463.1467429,,145.902271424037,6.3289962177317
78,2.46,0.1,0.35,0.1,0.2,23252.95479,1050.246873,463.1266797,,123.005473920863,5.55568595535337
79,1.92,0.75,0.225,0.18,0.8,18359.11846,2919.611755,10702.50708,,97.1176389123995,15.4444125846382
80,0.3,0.23,0.6,0.34,0.8,20770.44868,1774.478414,2093.37697,,109.873300253915,9.386788055438
81,0.84,0.49,0.1,0.42,0.6,18633.47294,2217.58464,5857.000583,,98.5689427634363,11.7307693609818
82,1.38,0.75,0.475,0.18,0.6,18983.7742,2878.403301,9739.796535,,100.421996402878,15.2264245715193
83,1.38,0.49,0.1,0.1,0.4,17164.91461,1935.123343,5258.767774,,90.8004369974609,10.2365813743123
84,1.38,0.75,0.35,0.34,0.2,20213.36832,2464.360582,7806.95799,,106.92640880237,13.0361858971646
85,1.92,0.36,0.6,0.34,0.2,24254.34236,1692.488235,2994.569285,,128.302699746086,8.95306937685146
86,1.92,0.23,0.475,0.42,0.6,24622.24965,1584.426692,2009.625859,,130.248887272535,8.38143616165891
87,1.92,0.75,0.1,0.18,0.8,17522.66085,2886.479344,10702.50708,,92.6928737304274,15.2691459162082
88,1.92,0.49,0.225,0.26,0.4,20632.81351,1970.544396,5032.242432,,109.14522593102,10.4239546974185
89,1.38,0.75,0.475,0.26,0.2,20235.91157,2492.917924,7806.95799,,107.045660019044,13.187250973339
90,1.92,0.36,0.475,0.5,0.4,24705.59364,1813.633972,3394.104642,,130.689767456623,9.59391648328396
91,1.38,0.36,0.1,0.18,0.2,18777.48437,1474.802284,2841.106425,,99.3307467731697,7.80153556919171
92,1.38,0.62,0.6,0.18,0.2,20659.35418,2250.922537,6219.249295,,109.285623042742,11.9071230268726
93,3,0.49,0.1,0.5,0.6,23593.50805,2068.610803,5604.977222,,124.806961754126,10.9427147852306
94,0.84,0.1,0.1,0.5,0.4,21583.91357,1142.798236,497.6532392,,114.17643657427,6.04527209056285
95,1.38,0.36,0.475,0.42,0.4,22982.37162,1813.194143,3228.942246,,121.574119868811,9.5915898381295
96,0.84,0.49,0.1,0.1,0.2,16127.21068,1816.34593,4663.433033,,85.3111017774016,9.60826243123149
97,2.46,0.75,0.1,0.34,0.4,20466.80608,2488.469295,8769.494223,,108.267065594583,13.1637182342361
98,0.3,0.75,0.475,0.42,0.8,18329.29331,3164.133203,10712.72117,,96.9598672767668,16.7379031051629
99,3,0.75,0.1,0.1,0.6,18959.00183,2620.351751,9730.634564,,100.290953396107,13.8613613573847
100,0.84,0.62,0.6,0.34,0.2,20860.50807,2341.005657,6220.110539,,110.349704136691,12.3836524386373
101,2.46,0.36,0.1,0.26,0.2,21691.80025,1461.492114,2993.942804,,114.747144784173,7.73112629073212
102,0.3,0.36,0.1,0.1,0.6,14927.65199,1841.95594,3619.542089,,78.9655733707152,9.74373645789251
103,3,0.49,0.35,0.1,0.6,21700.54472,2063.969131,5604.977222,,114.793402031316,10.9181608707152
104,0.3,0.62,0.35,0.34,0.6,17643.42703,2695.819584,7784.394805,,93.3317130236987,14.2605775708845
105,2.46,0.49,0.35,0.42,0.2,24003.11147,1862.036423,4452.96152,,126.973717044012,9.84995991853576
106,3,0.1,0.475,0.5,0.4,28199.73996,1262.666199,532.716705,,149.173402242912,6.67935991853576
107,3,0.23,0.1,0.34,0.6,23734.29976,1396.79037,2007.567767,,125.55173381295,7.38886145789251
108,1.38,0.49,0.6,0.1,0.4,20197.78883,2112.345475,5258.767774,,106.843995080406,11.17406620292
109,2.46,0.49,0.35,0.26,0.8,22051.8428,2248.98202,6185.454872,,116.651728734659,11.8968579136691
110,0.84,0.36,0.475,0.18,0.8,19329.68494,2041.077402,4006.568812,,102.251824693187,10.7970662399492
111,0.3,0.23,0.225,0.42,0.8,19295.53338,1664.274205,2093.37697,,102.071166842996,8.80382038192975
112,3,0.62,0.225,0.5,0.8,23606.15313,2547.592324,8546.999977,,124.87385278248,13.4764723021583
113,1.92,0.36,0.1,0.1,0.2,19139.80606,1430.917622,2994.569285,,101.247387113838,7.56939072154041
114,3,0.62,0.225,0.34,0.6,22494.13633,2380.029905,7770.036115,,118.991410971223,12.590086251587
115,2.46,0.75,0.35,0.5,0.4,23343.89089,2586.161975,8769.494223,,123.486515499365,13.6805013489209
116,3,0.75,0.6,0.5,0.8,25159.86585,2952.397224,10693.99985,,133.092815541684,15.6178439695303
117,0.84,0.36,0.35,0.26,0.6,19482.25368,1902.565219,3618.244259,,103.058895895049,10.0643526184934
118,0.3,0.1,0.1,0.26,0.2,18160.89476,1033.362739,430.7632897,,96.0690581887431,5.46637081570038
119,1.92,0.75,0.6,0.42,0.2,23361.21923,2495.820464,7806.030808,,123.578180438003,13.2026050782903
120,0.3,0.36,0.225,0.26,0.6,17318.41195,1923.857131,3619.542089,,91.6124203872196,10.176984400127
121,1.92,0.49,0.35,0.42,0.2,22980.33911,1892.547741,4453.853084,,121.563368123149,10.0113613044858
122,3,0.75,0.6,0.1,0.8,21761.35347,2912.917261,10693.99985,,115.115073370715,15.4089994763013
123,0.84,0.23,0.225,0.34,0.2,20392.91282,1343.206144,1463.171452,,107.87617869234,7.10540702496826
124,2.46,0.49,0.1,0.18,0.6,19903.91992,2027.186145,5607.957088,,105.289462124418,10.7235830776555
125,0.3,0.49,0.225,0.34,0.2,17825.61641,1986.678515,4664.087531,,94.295474026661,10.5093023434194
126,2.46,0.75,0.35,0.34,0.8,21563.69566,2907.759603,10698.44973,,114.069486140499,15.3817160548032
127,0.3,0.75,0.225,0.1,0.8,13920.58719,3126.202603,10712.72117,,73.638315647482,16.5372545651714
128,1.92,0.23,0.1,0.26,0.6,21016.27993,1392.764569,2009.625859,,111.173719477359,7.3675654305967
129,3,0.23,0.35,0.26,0.6,24584.01621,1466.204464,2007.567767,,130.046636743546,7.75605408379179
130,1.92,0.1,0.1,0.34,0.8,22619.73507,1117.40858,671.5995253,,119.655813954719,5.91096371138383
131,2.46,0.23,0.35,0.5,0.8,25513.63777,1604.888198,2226.606843,,134.964228575963,8.48967519043589
132,0.84,0.23,0.475,0.18,0.2,20430.08745,1384.312545,1463.171452,,108.07282823741,7.32285518937791
133,2.46,0.36,0.1,0.34,0.4,22190.75584,1606.800534,3392.851679,,117.386562843843,8.49979122936945
134,0.84,0.49,0.6,0.18,0.4,19718.95042,2189.820456,5260.216808,,104.310994604317,11.5839
135,1.92,0.62,0.475,0.34,0.2,22506.84649,2186.440899,6218.302699,,119.058646265341,11.5660225296234
136,3,0.36,0.1,0.5,0.6,24264.08013,1752.290514,3789.623947,,128.354211436733,9.26941659966145
137,1.92,0.1,0.475,0.42,0.4,25580.16516,1240.134914,532.588153,,135.316150867541,6.5601719953449
138,0.3,0.49,0.475,0.1,0.4,16890.50129,2223.312096,5261.525804,,89.3488218895472,11.7610669487939
139,0.84,0.75,0.225,0.34,0.6,17700.48961,2877.550287,9742.343302,,93.6335675518409,15.2219122249259
140,2.46,0.49,0.35,0.34,0.6,22900.43699,2147.88929,5607.957088,,121.140695038087,11.3620889229793
141,1.38,0.62,0.1,0.42,0.6,19284.64836,2489.664531,7779.458831,,102.013586330935,13.1700408961066
142,1.38,0.36,0.6,0.18,0.8,21266.76409,2020.003761,4004.61389,,112.498752063055,10.6855890869657
143,0.84,0.36,0.35,0.5,0.8,21374.88132,2065.564849,4006.568812,,113.070679856115,10.926602036606
144,2.46,0.1,0.475,0.26,0.2,25375.57747,1153.808452,463.1266797,,134.233905363944,6.1035148751587
145,1.38,0.1,0.225,0.26,0.4,21649.40571,1096.465875,497.8088828,,114.522882511638,5.80017919487939
146,1.92,0.1,0.6,0.18,0.8,24116.34285,1245.314344,671.5995253,,127.572698106221,6.58757058823529
147,0.3,0.62,0.475,0.42,0.6,19051.94225,2733.675109,7784.394805,,100.782597598392,14.4608289727042
148,1.38,0.36,0.1,0.34,0.8,19713.42971,1884.047676,4004.61389,,104.281790679221,9.96639693186627
149,0.84,0.1,0.1,0.5,0.6,21522.80937,1174.012111,564.4545755,,113.853202338129,6.21038992276767
150,3,0.62,0.225,0.1,0.4,20579.7127,2165.030179,6993.072253,,108.8643287135,11.452762267245
151,1.38,0.75,0.225,0.42,0.4,19842.50834,2638.375407,8773.377263,,104.964601883199,13.9567044382141
152,2.46,0.36,0.225,0.1,0.6,20638.39564,1704.265088,3791.760555,,109.174754760897,9.0153675835802
153,1.38,0.49,0.1,0.26,0.8,18292.69975,2266.799386,6450.88629,,96.7662915256031,11.9911097439695
154,1.38,0.36,0.475,0.18,0.4,20897.22433,1747.335654,3228.942246,,110.543928956835,9.24320595641134
155,2.46,0.36,0.35,0.34,0.8,23432.94065,1910.062907,4190.66943,,123.957578554803,10.1040145313161
156,1.92,0.49,0.35,0.18,0.2,20899.09011,1831.622439,4453.853084,,110.553798719848,9.68907341832417
157,3,0.36,0.475,0.1,0.6,23084.29521,1770.282202,3789.623947,,122.113284013965,9.36459057342361
158,1.38,0.75,0.35,0.42,0.8,20125.14658,3011.835287,10706.21581,,106.459725878121,15.9322645313161
159,0.3,0.62,0.35,0.42,0.4,18551.34465,2533.975454,7002.644712,,98.1344934934405,13.4044406157427
160,1.38,0.75,0.475,0.34,0.2,20931.29082,2502.403553,7806.95799,,110.724136796445,13.2374288669065
161,2.46,0.62,0.475,0.18,0.8,21439.60669,2616.288071,8551.60683,,113.413069667795,13.839864954507
162,3,0.49,0.1,0.1,0.2,20580.31007,1651.585886,4451.968231,,108.867488732543,8.73670062420652
163,0.84,0.62,0.1,0.18,0.8,15712.14876,2694.512917,8563.008575,,83.1154716462124,14.2536654517562
164,1.92,0.36,0.6,0.34,0.6,23899.64565,1933.642629,3793.639999,,126.426394678375,10.228748566441
165,2.46,0.75,0.6,0.1,0.6,21036.29328,2803.983508,9733.971976,,111.279587812103,14.8327523698688
166,0.84,0.1,0.225,0.1,0.6,18791.25611,1074.843521,564.4545755,,99.4035977041896,5.68579941282268
167,0.84,0.1,0.225,0.26,0.8,20235.14098,1167.937848,631.2559117,,107.041583685992,6.17825776555227
168,0.3,0.1,0.35,0.5,0.8,21582.07564,1331.58682,630.9014586,,114.166714134575,7.04394212865002
169,0.84,0.75,0.225,0.1,0.6,15488.17947,2879.147222,9742.343302,,81.9306996931866,15.2303598286077
170,0.3,0.1,0.35,0.1,0.6,18094.55202,1149.142181,564.1887356,,95.7181126745662,6.07883083474397
171,2.46,0.23,0.475,0.34,0.6,25001.26967,1545.228084,2008.69805,,132.253859870927,8.17408000423191
172,3,0.1,0.35,0.1,0.2,24244.49771,1050.412817,463.1467429,,128.25062267245,5.55656378015235
173,2.46,0.75,0.1,0.34,0.6,20198.19434,2679.992981,9733.971976,,106.846140181972,14.1768566493864
174,0.3,0.62,0.1,0.26,0.4,15530.85331,2442.599045,7002.644712,,82.1564394308083,12.9210698529412
175,1.38,0.62,0.1,0.1,0.4,16614.73911,2275.490405,6999.354063,,87.8900714663563,12.0370842414304
176,1.38,0.49,0.35,0.5,0.8,21916.71487,2380.985052,6450.88629,,115.936917424884,12.5951388700804
177,2.46,0.75,0.475,0.1,0.6,20351.56049,2771.3617,9733.971976,,107.657429591621,14.6601867329666
178,3,0.23,0.475,0.18,0.4,24718.35933,1412.555413,1790.035734,,130.757296498096,7.47225673402455
179,0.84,0.75,0.225,0.26,0.4,17247.76742,2692.033931,8775.075107,,91.2387188954719,14.240551899069
180,1.92,0.36,0.35,0.34,0.2,22889.38207,1605.475353,2994.569285,,121.082215774439,8.49278117329666
181,2.46,0.1,0.475,0.5,0.8,27165.52934,1302.302131,671.7763769,,143.702546233601,6.88902946995345
182,1.92,0.36,0.35,0.42,0.6,23190.31335,1866.869043,3793.639999,,122.67410786077,9.87552392615319
183,1.38,0.36,0.6,0.18,0.6,21400.52766,1917.174533,3616.778068,,113.206346064325,10.1416342202708
184,1.38,0.23,0.225,0.42,0.6,22064.67409,1506.429106,1882.258407,,116.719604792636,7.96883784384257
185,2.46,0.75,0.225,0.1,0.2,19400.24683,2286.703151,7805.01647,,102.625089028777,12.0963983865849
186,0.3,0.75,0.35,0.34,0.4,17397.19329,2801.688948,8776.629944,,92.029164674143,14.8206144096488
187,3,0.23,0.475,0.1,0.4,23988.00419,1382.180395,1790.035734,,126.893801258993,7.31157635950064
188,1.92,0.75,0.6,0.18,0.8,20551.99768,3007.77648,10702.50708,,108.71771942446,15.9107939060516
189,0.84,0.49,0.35,0.5,0.4,21079.10806,2163.88056,5260.216808,,111.506073106221,11.4466809140923
190,0.84,0.23,0.1,0.5,0.4,20791.28288,1427.036984,1673.021498,,109.983510791367,7.54886258992806
191,0.3,0.49,0.35,0.26,0.4,17671.41893,2201.816268,5261.525804,,93.4797869763013,11.6473564748201
192,1.38,0.23,0.225,0.1,0.2,19472.02644,1238.330125,1462.967073,,103.004794964029,6.55062486775286
193,0.84,0.23,0.475,0.34,0.6,21598.62757,1605.119198,1882.871544,,114.254271953026,8.49089715404147
194,3,0.36,0.1,0.1,0.6,20794.02375,1633.952255,3789.623947,,109.998009680491,8.64342073106221
195,2.46,0.1,0.1,0.26,0.2,23165.85715,1014.437156,463.1266797,,122.544737357173,5.36625664409649
196,2.46,0.36,0.35,0.26,0.8,22744.98497,1889.099287,4190.66943,,120.318371614473,9.99311937685146
197,3,0.62,0.475,0.34,0.4,24198.41921,2290.412037,6993.072253,,128.00687267245,12.1160179697419
198,2.46,0.36,0.225,0.18,0.4,21578.69157,1607.202247,3392.851679,,114.148812790944,8.5019162452391
199,3,0.62,0.6,0.34,0.6,24626.74246,2493.087997,7770.036115,,130.27265372408,13.1881506400762
200,0.84,0.49,0.225,0.18,0.4,17525.67265,2065.27243,5260.216808,,92.7088058082945,10.9250551735083
201,0.84,0.1,0.225,0.34,0.6,20992.84336,1167.382912,564.4545755,,111.049742699958,6.1753222175201
202,2.46,0.75,0.35,0.26,0.4,21353.69667,2559.014348,8769.494223,,112.958615478206,13.5368935040203
203,1.92,0.62,0.225,0.34,0.6,20537.76736,2465.407249,7776.619042,,108.642442657639,13.0417226460008
204,1.38,0.23,0.35,0.18,0.4,20855.70222,1396.912589,1672.61274,,110.324281739314,7.38950798243758
205,1.92,0.23,0.6,0.34,0.2,24886.0129,1452.708158,1573.189732,,131.644164727042,7.68466016716039
206,1.92,0.36,0.35,0.5,0.6,23830.61756,1888.257162,3793.639999,,126.06124396953,9.98866463182395
207,0.84,0.75,0.6,0.18,0.8,18248.51596,3122.930016,10709.6115,,96.5325643250106,16.5199429538722
208,1.92,0.49,0.1,0.5,0.6,21629.35585,2130.061426,5610.63178,,114.416821043165,11.2677815594583
209,2.46,0.75,0.225,0.42,0.8,21464.70785,2878.26697,10698.44973,,113.545851936098,15.2257033961066
210,0.3,0.62,0.225,0.26,0.2,16618.34515,2284.367463,6220.89462,,87.9091470059247,12.0840428639441
211,1.92,0.49,0.225,0.1,0.8,18759.51831,2229.966757,6189.021128,,99.2357083685992,11.7962693451121
212,1.38,0.62,0.35,0.1,0.8,17810.0312,2691.482946,8559.563598,,94.213030046551,14.2376372513754
213,3,0.1,0.475,0.26,0.6,26235.12019,1195.877355,602.2866672,,138.780788140076,6.32605456517139
214,1.38,0.1,0.1,0.1,0.4,19359.47663,983.1140663,497.8088828,,102.409419329243,5.2005610786077
215,2.46,0.75,0.475,0.5,0.2,24331.2627,2427.363917,7805.01647,,128.70959955565,12.8404777666102
216,2.46,0.49,0.225,0.5,0.8,23291.71624,2251.030155,6185.454872,,123.210517562421,11.907692313796
217,0.84,0.49,0.225,0.1,0.6,16543.86203,2220.030226,5857.000583,,87.5151398116801,11.7437062314854
218,0.3,0.23,0.35,0.5,0.6,20828.82876,1649.005467,1883.363079,,110.182124206517,8.72305050253915
219,0.84,0.49,0.225,0.5,0.2,20538.72446,1950.052632,4663.433033,,108.647505607279,10.3155556072789
220,0.3,0.1,0.35,0.5,0.2,21768.75833,1221.7522,430.7632897,,115.154244234025,6.46292953872196
221,1.92,0.49,0.35,0.18,0.6,20458.54909,2156.099424,5610.63178,,108.223387060939,11.4055195937368
222,1.38,0.49,0.6,0.26,0.8,21300.43589,2422.404367,6450.88629,,112.676872037664,12.814242313796
223,1.38,0.49,0.225,0.34,0.2,20437.83644,1863.934866,4662.708516,,108.113819509099,9.86000246508676
224,0.3,0.36,0.35,0.1,0.6,16573.33524,1940.086222,3619.542089,,87.671049724926,10.2628344371562
225,0.84,0.23,0.35,0.34,0.2,21147.11189,1393.313184,1463.171452,,111.865805596699,7.37046754126111
226,1.92,0.62,0.1,0.26,0.8,18812.66707,2565.013669,8555.777214,,99.5168592361405,13.5686292266187
227,3,0.75,0.225,0.34,0.8,21733.69512,2831.970193,10693.99985,,114.968763859501,14.9807987357173
228,2.46,0.23,0.475,0.5,0.6,26279.14103,1593.515738,2008.69805,,139.013653353788,8.42951617647059
229,0.84,0.62,0.225,0.34,0.6,18211.23918,2587.430717,7782.042563,,96.3353744181126,13.6872128491325
230,1.38,0.49,0.475,0.34,0.2,21909.45417,1953.20576,4662.708516,,115.898509151502,10.3322352941176
231,1.92,0.49,0.1,0.18,0.8,18690.75434,2199.62649,6189.021128,,98.8719548243758,11.6357727994075
232,1.92,0.49,0.6,0.34,0.6,23261.68754,2264.09887,5610.63178,,123.051669170546,11.9768243228946
233,0.3,0.49,0.475,0.18,0.8,17287.95531,2532.496173,6456.402351,,91.451308241642,13.3966153882776
234,0.84,0.49,0.475,0.26,0.4,19766.13047,2164.202858,5260.216808,,104.560571677952,11.448385833686
235,0.84,0.1,0.475,0.26,0.6,21751.85383,1235.315314,564.4545755,,115.064821360559,6.53467686203978
236,1.38,0.49,0.475,0.34,0.6,21486.1886,2268.083426,5854.827032,,113.659482649175,11.9979021688532
237,2.46,0.23,0.475,0.1,0.2,23154.20269,1317.038133,1572.880462,,122.48308659543,6.96698123677529
238,0.84,0.75,0.1,0.42,0.8,17322.0629,3008.125049,10709.6115,,91.6317334955565,15.9126377962336
239,0.84,0.62,0.475,0.26,0.6,19010.44013,2653.680348,7782.042563,,100.563056125688,14.0376658273381
240,0.3,0.62,0.6,0.5,0.4,20605.97882,2612.295562,7002.644712,,109.003273487093,13.8187450380872
241,1.92,0.49,0.225,0.5,0.6,22434.36291,2174.600443,5610.63178,,118.675216409226,11.503387870292
242,2.46,0.36,0.225,0.18,0.6,21392.21472,1726.907037,3791.760555,,113.162371561574,9.13514090668642
243,0.84,0.75,0.35,0.26,0.2,18298.86223,2519.44223,7807.806912,,96.7988903406686,13.3275615213711
244,0.84,0.23,0.475,0.26,0.6,20899.17573,1581.32085,1882.871544,,110.554251639865,8.36500661235717
245,1.92,0.1,0.6,0.26,0.4,24909.90668,1229.747306,532.588153,,131.770560093102,6.5052227359289
246,1.38,0.23,0.6,0.5,0.2,25063.10648,1511.150195,1462.967073,,132.580969530258,7.99381186521371
247,0.3,0.75,0.1,0.1,0.4,13524.82609,2732.034615,8776.629944,,71.5447846487516,14.4521509468895
248,1.38,0.36,0.35,0.18,0.8,19863.2079,1940.079186,4004.61389,,105.074100190436,10.2627972175201
