Version,window_u,shgc,roof_u,extWall_u,transmittance,total_idealHeating,total_idealCooling,total_solarRad,,total_idealHeating(per m2),total_idealCooling (per m2)
4331,2.3,0.24,1.2,1.38,0.8,303290.6976,148502.3243,63212.05629,,1604.37313584427,785.560327443927
4332,0.3,0.38,1.2,1.38,0.2,255840.2703,139147.1592,57782.10161,,1353.36579718578,736.072573000423
4333,0.3,0.52,0.54,1.06,0.4,200726.7881,150198.0105,121727.9511,,1061.82177369869,794.530313690224
4334,2.8,0.52,1.2,0.1,0.2,179167.7395,117457.6791,89615.31523,,947.776869974609,621.337701544647
4335,1.3,0.24,0.54,1.7,0.6,295673.3984,146054.6942,49615.31525,,1564.07849344054,772.612643884892
4336,1.3,0.52,0.54,1.38,0.6,246711.9929,169156.4199,151158.4868,,1305.07825275074,894.818133199323
4337,0.8,0.1,0.32,0.42,0.8,179032.2829,98925.15736,17223.63895,,947.060320038087,523.302779094372
4338,2.8,0.52,0.1,0.1,0.4,148601.2512,123330.2075,118510.8634,,786.083639441388,652.402705776555
4339,0.8,0.66,0.32,1.7,0.4,250532.1756,173482.1848,161479.5114,,1325.28658273381,917.700935251799
4340,0.8,0.52,0.1,1.7,0.6,247947.2426,172829.5199,151243.8348,,1311.61258252222,914.24841250529
4341,2.3,0.38,0.32,0.1,0.8,142826.1324,130001.6403,118288.883,,755.533920863309,687.693823000423
4342,2.3,0.52,0.1,1.38,0.4,267748.2571,154945.2328,118586.4171,,1416.35768673297,819.642577232332
4343,0.3,0.52,0.76,0.1,0.4,102400.792,128463.071,121727.9511,,541.688489208633,679.554967202708
4344,2.3,0.66,0.1,1.7,0.8,265205.2578,200226.7606,238770.5339,,1402.90551100296,1059.1766853576
4345,0.8,0.52,0.32,1.38,0.2,245052.2394,143509.1609,92108.266,,1296.29834638172,759.147063584427
4346,1.3,0.66,0.32,1.38,0.2,249524.4745,152335.7463,122587.6819,,1319.95595905628,805.838691811257
4347,1.8,0.8,0.1,1.06,0.8,193925.6645,206189.8187,298565.9903,,1025.84460696149,1090.72058135844
4348,0.8,0.1,1.2,0.42,0.2,201490.6047,97105.13734,8183.65957,,1065.86227623783,513.675081146847
4349,0.8,0.52,0.32,1.38,0.6,229354.099,168030.6258,151243.8348,,1213.25697735929,888.862811045282
4350,2.3,0.52,0.54,0.1,0.6,140049.7859,138815.9142,147519.7422,,740.847365107914,734.320324798984
4351,2.3,0.52,1.2,1.38,0.2,296616.6177,149693.8592,89653.0921,,1569.06801576386,791.863410918324
4352,1.8,0.38,1.2,1.7,0.8,300171.4958,172547.3423,118386.8016,,1587.87291472704,912.755725243335
4353,2.8,0.24,1.2,0.74,0.2,271166.5172,118208.5418,31307.29435,,1434.43989208633,625.309679432924
4354,2.8,0.1,1.2,1.06,0.6,307855.5557,120583.405,15057.76293,,1628.52071360559,637.872434405417
4355,1.8,0.52,1.2,0.1,0.8,135491.2969,154542.4535,176590.2341,,716.73347915785,817.511920757512
4356,0.8,0.38,1.2,0.42,0.6,167781.5455,135168.254,96407.42535,,887.545204718578,715.024619128227
4357,1.8,0.1,0.98,1.38,0.2,311839.8632,122393.6101,8757.181785,,1649.59724502751,647.448212547609
4358,2.3,0.24,0.32,0.74,0.2,245007.9279,112489.985,31321.43645,,1296.06394360982,595.059167371985
4359,2.8,0.66,0.98,0.42,0.4,195642.6276,149097.5541,161181.0315,,1034.92714557766,788.709025074058
4360,2.8,0.24,0.32,0.1,0.2,182892.676,94231.73789,31307.29435,,967.481358442658,498.47512637537
4361,2.3,0.1,0.54,0.1,0.8,183240.5668,90372.50078,18202.26002,,969.321661024122,478.060203025815
4362,2.8,0.8,1.2,0.42,0.4,189929.3994,161784.0244,201872.8932,,1004.70482120186,855.819003385527
4363,1.3,0.38,0.32,1.38,0.4,260946.849,143957.1732,77046.66254,,1380.37901502328,761.516997460855
4364,1.3,0.8,0.32,1.38,0.6,221358.1936,196609.4402,250382.979,,1170.95955141769,1040.04147376217
4365,0.3,0.66,0.1,0.1,0.6,72606.88815,155082.7816,200428.5315,,384.08214213923,820.370194667795
4366,1.3,0.24,0.1,0.42,0.8,169455.2516,117830.367,59798.69533,,896.398918747355,623.309177951756
4367,2.3,0.66,0.1,1.7,0.6,272161.3171,186594.1721,200018.1622,,1439.70226988997,987.061849873043
4368,0.8,0.66,0.76,0.42,0.4,146098.6828,148619.6774,161479.5114,,772.845338552687,786.181111933982
4369,2.3,0.1,1.2,1.38,0.8,321619.3235,129052.8879,18202.26002,,1701.32947259839,682.675031210326
4370,0.3,0.52,0.98,0.74,0.2,187261.3583,132431.1383,92134.21634,,990.591188637325,700.54558982226
4371,1.3,0.8,0.32,1.38,0.4,230771.9828,178576.0431,202075.3479,,1220.75742065171,944.646863626746
4372,0.3,0.1,0.98,1.7,0.2,294971.9398,127156.4891,8180.319041,,1560.36785759628,672.643298243758
4373,0.8,0.8,0.54,1.38,0.4,222573.3876,180119.6362,202133.0568,,1177.38778882776,952.812294752433
4374,2.8,0.66,0.32,0.42,0.4,182927.9148,145373.6759,161181.0315,,967.667767668218,769.010134892086
4375,0.3,0.38,0.32,0.74,0.8,165450.2679,147907.4454,115799.4091,,875.213012589928,782.413486034702
4376,0.8,0.8,0.1,1.38,0.4,213055.0997,177498.5902,202133.0568,,1127.03713341092,938.947260897165
4377,0.8,0.52,0.32,0.42,0.2,155038.0151,120566.6289,92108.266,,820.133384997884,637.78369075328
4378,2.3,0.66,0.76,1.38,0.8,255314.839,198141.6533,238770.5339,,1350.58632564537,1048.14670598815
4379,1.8,0.24,0.98,1.38,0.4,296401.5568,136927.7139,41975.37914,,1567.93036817605,724.331960960643
4380,0.8,0.52,0.54,1.06,0.2,223342.3975,137759.4163,92108.266,,1181.45576333051,728.731571625053
4381,2.8,0.66,0.32,0.1,0.8,128387.2219,167396.8329,238601.0158,,679.153734130343,885.510119022429
4382,0.8,0.66,0.54,1.7,0.8,239305.3109,204572.0018,239197.9757,,1265.89775126957,1082.16251481168
4383,2.8,0.52,0.54,1.06,0.6,253021.8066,162646.8468,147406.4116,,1338.45644625476,860.383235294118
4384,0.8,0.24,0.54,1.38,0.8,255642.3175,144353.7519,59831.7346,,1352.31864949217,763.614853470165
4385,0.3,0.24,0.76,0.1,0.6,119168.2331,107847.7286,49660.58968,,630.386336754126,570.502161447313
4386,1.3,0.24,1.2,1.06,0.6,257861.7539,135566.4916,49615.31525,,1364.05921445197,717.131250528989
4387,2.8,0.66,0.54,0.74,0.6,212227.4696,169524.7993,199891.0236,,1122.6590647482,896.766818133728
4388,0.8,0.66,0.98,0.74,0.4,183691.1244,157260.4949,161479.5114,,971.70505924672,831.890049195937
4389,0.3,0.1,0.76,0.42,0.8,172336.3238,101956.8401,17210.27683,,911.639461489632,539.340034384257
4390,2.3,0.24,0.54,1.06,0.8,266125.0744,137697.7458,63212.05629,,1407.77123571731,728.405341726619
4391,0.8,0.38,0.54,0.74,0.4,196302.1339,130144.752,77085.94994,,1038.41585854846,688.450867541261
4392,0.3,0.66,1.2,1.06,0.8,187584.3697,197323.0229,239317.693,,992.299882035548,1043.81624471011
4393,0.8,0.1,0.1,0.42,0.2,180365.138,90440.8727,8183.65957,,954.110971223022,478.421882670334
4394,0.3,0.38,0.1,0.1,0.4,98080.07194,110685.6438,77121.20411,,518.832373783326,585.514408590775
4395,0.3,0.38,0.1,1.38,0.6,222351.3123,151437.9541,96460.30661,,1176.21303586543,801.089473656369
