Version,window_u,shgc,roof_u,extWall_u,transmittance,total_idealHeating,total_idealCooling,total_solarRad,
1259,1.38,0.49,0.6,0.26,0.8,21300.43589,2422.404367,6450.88629,
1260,0.84,0.36,0.225,0.34,0.2,19779.6346,1612.882271,2841.595155,
1261,2.46,0.49,0.225,0.34,0.4,22361.47643,1951.007335,5030.459304,
1262,1.92,0.36,0.6,0.18,0.4,22676.55743,1765.446728,3394.104642,
1263,2.46,0.62,0.475,0.5,0.2,24812.70107,2176.875907,6217.260103,
1264,0.3,0.62,0.225,0.26,0.2,16618.34515,2284.367463,6220.89462,
1265,1.38,0.62,0.1,0.1,0.8,16175.61479,2619.905054,8559.563598,
1266,1.38,0.62,0.6,0.1,0.2,19907.02523,2238.509938,6219.249295,
1267,3,0.23,0.6,0.18,0.8,25172.25712,1580.425762,2225.099799,
1268,1.38,0.36,0.35,0.26,0.6,20729.71077,1851.59514,3616.778068,
1269,1.92,0.23,0.35,0.34,0.6,23262.78593,1515.870628,2009.625859,
1270,0.84,0.23,0.225,0.34,0.2,20392.91282,1343.206144,1463.171452,
1271,3,0.23,0.225,0.18,0.8,23060.04994,1448.264759,2225.099799,
1272,2.46,0.75,0.35,0.34,0.6,21780.06343,2752.836558,9733.971976,
1273,2.46,0.1,0.6,0.34,0.4,26632.34682,1252.090763,532.6765788,
1274,0.84,0.49,0.475,0.5,0.4,21791.13839,2204.456159,5260.216808,
1275,3,0.1,0.475,0.18,0.4,25599.18379,1148.991337,532.716705,
1276,1.92,0.62,0.225,0.1,0.2,18848.30118,2055.822641,6218.302699,
1277,1.92,0.23,0.6,0.1,0.2,22761.0862,1370.108294,1573.189732,
1278,3,0.36,0.6,0.18,0.4,24668.39524,1719.639129,3391.427274,
1279,0.84,0.1,0.475,0.34,0.4,22504.47742,1231.633681,497.6532392,
1280,3,0.62,0.475,0.1,0.8,21642.58876,2563.214233,8546.999977,
1281,3,0.62,0.35,0.5,0.4,24782.71958,2288.0071,6993.072253,
1282,1.38,0.1,0.475,0.42,0.2,24497.49378,1216.257659,430.9297248,
1283,0.3,0.23,0.225,0.34,0.8,18605.81304,1641.909795,2093.37697,
1284,0.84,0.49,0.1,0.34,0.4,18154.28762,2043.00619,5260.216808,
1285,1.92,0.75,0.35,0.5,0.2,22625.2233,2431.892973,7806.030808,
1286,0.84,0.75,0.35,0.5,0.4,20056.93573,2739.673784,8775.075107,
1287,0.3,0.75,0.35,0.42,0.2,18345.98596,2603.478295,7808.584331,
1288,1.92,0.1,0.6,0.18,0.8,24116.34285,1245.314344,671.5995253,
1289,0.3,0.75,0.475,0.34,0.2,18391.51106,2635.862185,7808.584331,
1290,0.84,0.23,0.475,0.1,0.2,19670.05476,1356.061185,1463.171452,
1291,1.38,0.23,0.1,0.26,0.2,20155.2748,1245.386358,1462.967073,
1292,2.46,0.1,0.1,0.26,0.6,23045.82872,1060.511803,602.2264778,
1293,1.92,0.49,0.1,0.42,0.6,20978.48838,2114.69761,5610.63178,
1294,1.38,0.23,0.1,0.5,0.8,21819.0295,1548.505169,2091.904074,
1295,1.38,0.62,0.35,0.34,0.6,20197.67872,2559.498289,7779.458831,
1296,1.38,0.75,0.1,0.1,0.4,16117.09143,2579.898076,8773.377263,
1297,3,0.1,0.475,0.34,0.6,26898.04229,1223.409516,602.2866672,
1298,2.46,0.62,0.6,0.18,0.8,22119.52879,2650.087207,8551.60683,
