Version,window_u,shgc,roof_u,extWall_u,transmittance,total_idealHeating,total_idealCooling
3511,2.3,0.24,0.76,0.74,0.8,240748.5596,131030.6007
3512,1.3,0.8,0.1,1.7,0.2,259885.6441,165636.9103
3513,2.3,0.24,0.32,1.06,0.2,274204.8358,120735.6785
3514,1.3,0.1,0.98,0.74,0.2,245128.4762,105630.5091
3515,0.8,0.52,0.54,0.42,0.8,137743.9826,160578.4836
3516,0.3,0.8,0.54,0.74,0.6,144383.4387,187062.5591
3517,1.8,0.8,0.76,1.38,0.6,241522.6159,198554.9035
3518,2.3,0.8,0.76,0.1,0.4,133624.0424,151776.6568
3519,0.8,0.8,0.1,0.74,0.8,140826.9783,202319.9216
3520,0.3,0.52,0.76,1.38,0.2,239346.1206,145810.3304
3521,2.8,0.24,0.98,1.7,0.4,340262.712,144938.3629
3522,1.3,0.8,0.1,1.7,0.8,231932.5591,218356.2289
3523,1.8,0.52,0.1,1.38,0.6,248968.8312,166601.558
3524,0.8,0.66,0.54,1.7,0.6,246583.3573,189880.3464
3525,1.8,0.52,1.2,1.38,0.6,269735.57,172706.6259
3526,1.3,0.24,0.98,1.06,0.4,258898.0099,128731.9746
3527,1.3,0.8,0.1,1.06,0.8,182417.0859,207135.9327
3528,1.3,0.1,1.2,0.42,0.6,211102.1264,102017.8848
3529,1.3,0.24,0.54,0.1,0.8,139512.6226,111514.074
3530,1.3,0.66,0.32,1.7,0.2,272799.0157,158765.641
3531,2.8,0.66,0.1,0.1,0.8,123236.8013,166072.9235
3532,1.3,0.24,0.54,0.42,0.4,187554.1019,109417.0408
3533,2.3,0.66,0.1,1.06,0.6,222422.7338,174028.6665
3534,0.8,0.38,0.1,1.06,0.2,223319.1725,125907.092
3535,0.8,0.1,0.98,0.74,0.6,227464.4707,109631.6934
3536,0.3,0.38,0.1,0.74,0.8,160371.3617,146513.5804
3537,0.8,0.38,0.76,1.38,0.4,256433.0757,146276.9025
3538,2.8,0.52,0.76,1.06,0.6,257140.3562,163873.1961
3539,0.8,0.1,0.32,1.7,0.8,291753.2342,130581.5354
3540,1.3,0.24,0.98,1.06,0.8,250815.984,139492.1491
3541,2.3,0.1,0.54,0.42,0.8,222393.4647,100378.4619
3542,0.8,0.1,0.1,0.74,0.8,208126.8119,106371.6033
3543,1.8,0.52,0.98,1.38,0.4,273997.7053,159801.6876
3544,2.8,0.8,0.76,1.7,0.4,295058.4466,186925.5821
3545,2.3,0.1,0.1,1.06,0.4,278809.9408,112083.0427
3546,0.8,0.8,0.54,1.38,0.2,233084.4961,161958.5774
3547,1.8,0.24,0.76,0.1,0.8,155911.3848,113064.3758
