extWall_u,window_u,shgc,roof_u,transmittance,total_idealHeating,total_idealCooling
0.10000000000000007,0.3,0.10000000000016084,0.10000002694532237,0.2,125441.8125,78971.53125
0.10000000000000044,0.3,0.1000000000092851,0.10000003159711868,0.2,125441.8125,78971.53125
0.10000000303433194,0.3,0.7999999999929834,0.10000000000018644,0.8,57729.8828125,190082.46875
0.10000000024946269,0.3,0.7999999999929834,0.10000000000006702,0.8,57729.8828125,190082.46875
0.1000496153231457,0.30042405752664586,0.469766666163135,0.10000668128931886,0.20000000228901224,100749.71875,107237.4921875
0.1000203535959315,0.30003838929054527,0.7999710047463562,0.1003993330252929,0.32092592026851763,75183.3203125,142622.71875
0.10004076251478271,0.3001896289526411,0.13514433635031203,0.10101035282869547,0.20000505456778345,122646.59375,82093.1796875
0.10000000000000013,0.30004108832271176,0.3342027422552551,0.10005530793859556,0.2021077349390446,109145.125,97439.3203125
0.10001221132377999,0.3015224722721988,0.7999993585323378,0.10016890693409587,0.43854892401325224,70525.9921875,154923.078125
0.10014189653895138,0.3000394833620016,0.7998501975187365,0.10028673200327129,0.45727764461495185,69820.4296875,156916.046875
0.10014840403193162,0.3000806620989943,0.7999162353858833,0.10047305374692546,0.2574010861549896,78049.6640625,136316.46875
0.10000181745290426,0.30047093770196326,0.7671609912824492,0.10010544246471392,0.2,82710.6328125,127892.0234375
0.1001855620255038,0.3000074395511459,0.21069713642300547,0.10001203752463123,0.2,117498.640625,88152.8125
0.10001082585915679,0.30047093770196326,0.7492797196950032,0.10010229464386561,0.2,83738.4609375,126526.796875
0.10033963458930598,0.30000001831375306,0.7999849656415251,0.10025242472051833,0.33788748868280627,74477.3203125,144365.34375
0.10000433071470564,0.30151978178654854,0.389499386075813,0.10061068520184054,0.2,106165.859375,101125.6640625
0.10001695780035329,0.3002678405958789,0.4134606049069943,0.10063445643407647,0.20000074974941168,104729.609375,102868.328125
0.10001169261364976,0.3000472521144826,0.3208916662308831,0.10001032433174252,0.2,110018.7265625,96409.3125
0.1000000000230741,0.3,0.7999999999938558,0.10000000000000193,0.6361741585190623,63291.8359375,174718.140625
0.10014840405351728,0.3002730282548531,0.7998501975187365,0.10047302418747481,0.582151649163686,65321.1953125,169451.75
0.10002455938440157,0.3012653618691617,0.7998178288233456,0.10053447350460164,0.4253272288464568,71049.3671875,153488.3125
0.10013988335794619,0.30040606702970685,0.18744797722622292,0.10000253553511315,0.20786303283426288,118915.6171875,86588.1484375
0.10000538180679164,0.3013689930208239,0.6058193172360447,0.10002019554925223,0.20000000211289212,91703.0234375,117160.421875
0.10003660225536025,0.30000253143346456,0.5645578333600729,0.10000873714775817,0.20000097785429957,94177.3046875,114378.71875
0.10001967191623302,0.30003501256247295,0.3550442564785594,0.10000960223942042,0.2,107978.7578125,98775.546875
0.10033173101068502,0.30029818858328866,0.6282552539216668,0.1000164420383722,0.20065300494678404,90421.4609375,118635.890625
0.10002376482500322,0.3001588696493788,0.5804247385237137,0.10273405698638252,0.20802038589919825,92916.46875,116091.7109375
0.10001253048752426,0.3035221184368526,0.7999320085170256,0.10000002614413694,0.3038815068315588,76005.5078125,140909.453125
0.10015815655243457,0.30002618304358125,0.7987849500853633,0.10116012767648876,0.3504915107456908,74039.9765625,145515.46875
0.10041433308224082,0.30002535994670604,0.7998501975187365,0.10023997349496687,0.6865570969625144,61531.5859375,179552.765625
0.10001891767026724,0.3044061052114298,0.48788520542707353,0.10033402670783448,0.2025333807445231,99461.0546875,108807.421875
0.10002451390874147,0.30029818858328866,0.22883369951044313,0.10000971655286482,0.20065300494678404,116173.1328125,89603.5546875
0.10006125905298888,0.30041460605341735,0.7999723844557673,0.10000052127630818,0.36302186356190225,73436.7734375,146897.390625
0.1000176775942633,0.3004638598992106,0.7993317923733961,0.10117835071037454,0.6636803529083977,62364.9453125,177285.59375
0.10000000303433194,0.3,0.7999999999947974,0.1019189073373489,0.7247708792301302,60229.5078125,183167.21875
0.10006611191803667,0.302050427480252,0.38885013664143786,0.10028312148169899,0.22321184190462187,105618.4453125,102250.7890625
0.10002131557034014,0.3000074395511459,0.24237549282860577,0.10000350099079422,0.2,115251.3828125,90616.5078125
0.10006961872086542,0.3009910217095216,0.6628161302403798,0.10466304282869528,0.20802038589919825,88295.8125,121367.2265625
0.10002103725495311,0.3024432173016865,0.11890569007995574,0.10001459932931625,0.20034964115337425,123943.609375,80689.6328125
0.1000379261020756,0.30013171858864474,0.5118096667273593,0.1000607151883404,0.2,97742.328125,110450.6875
0.10007547919126243,0.3000155060383832,0.7999483206532033,0.10007582647325157,0.5492485861075306,66554.6015625,166212.84375
0.10001222023423136,0.3000010940776237,0.4887808553283418,0.10018645791452883,0.20371199386831296,99208.0625,108956.734375
0.1000334407198225,0.30334534114965017,0.5361125351075882,0.10013962325054587,0.20193364801103375,96073.0703125,112473.7890625
0.10000961438045779,0.3003121890399618,0.6383085135481543,0.10002569424993824,0.20570045975991774,89617.0390625,119629.9453125
0.10008184724727318,0.3055615196242425,0.799441593663021,0.10141301931954738,0.5970297221581649,64926.2734375,170875.265625
0.10002376482500322,0.3000450197338822,0.17232196219939508,0.10278489748756707,0.20802038589919825,119960.03125,85408.1953125
0.10012748394565404,0.3001663301289088,0.5730928180190078,0.100006967847593,0.20758611207341005,93339.5859375,115545.0390625
0.10004776143800834,0.3063568042550706,0.42905650033217513,0.1003167911756413,0.20000629402112408,103845.5390625,104085.2421875
0.10023849427777988,0.3039596832202528,0.7999674492767528,0.10001511887833478,0.2798200431356578,77104.2734375,138504.46875
0.10009516341009196,0.3001500512906405,0.7851865704286642,0.10006037079707863,0.490644812102995,69539.4140625,158655.53125
0.10002875169639415,0.30020422671591174,0.29037625916401205,0.10001680891774047,0.20018143310603573,111989.9765625,94206.5625
0.10017628113347701,0.30001298380249125,0.25778194628813567,0.10003576831231295,0.22625403675183836,113435.71875,92995.7265625
0.10002714194171959,0.30009112854684866,0.5207884075142133,0.10000668128931886,0.20000000228901224,97113.4375,111144.9765625
0.10001131064464525,0.3004621647102736,0.7993317923733961,0.10117249982939662,0.6697349620707923,62142.5234375,177879.421875
0.10005497052567841,0.30029818858328866,0.6140875110206994,0.10003347286007493,0.20065300494678404,91179.328125,117741.2265625
0.10008825471669765,0.30005276685754007,0.7998501975187365,0.10099547235956764,0.3979030198093913,72096.8203125,150581.5
0.10020313103589576,0.3000155060383832,0.7999704951993436,0.10731661780584649,0.7087750648146841,60899.7890625,181694.15625
0.10000000000000007,0.3035774088432345,0.690693219312208,0.10000002694532237,0.2,87053.7421875,122576.046875
0.10005175196164315,0.3000336783811163,0.3698356072314543,0.10001498979019402,0.20306187674497492,107105.328125,99923.703125
0.10011662991429167,0.3000081292777082,0.7999538535714809,0.10003095465239978,0.6162909054590033,64018.6015625,172787.171875
0.10008955362175861,0.3004652491941955,0.7925353289994816,0.10024712790570345,0.21680676357158807,80454.3046875,131677.25
0.10032087177720665,0.30364045691805047,0.7999997815826533,0.10039318505837184,0.7807053326441075,58494.4765625,188347.796875
0.10017456137694773,0.300026993521912,0.7992140411750877,0.10008386904207181,0.7694286682355641,58794.3828125,187225.0
0.1000237471985289,0.30151978178654854,0.7079297906510787,0.10041356903028816,0.2,86048.7578125,123756.046875
0.10011406564641698,0.3000073342468584,0.25942661360348834,0.10000606767025363,0.2,114124.578125,91893.1171875
0.10007265401714889,0.3017177227390763,0.6866231947868593,0.10011121113840216,0.20000000228901224,87242.8046875,122302.3046875
0.10000003064556902,0.3000069418983174,0.7925868468287816,0.10000004048088106,0.2000000000542523,81202.7578125,130042.7890625
0.10004882216400868,0.3001772671445346,0.254079300572502,0.10073142736145635,0.20000000229534923,114504.484375,91497.6015625
0.10008220936170398,0.3,0.7999999999929834,0.10000000000002561,0.6325518199091348,63430.8984375,174367.15625
0.1000112180457536,0.30003838929054527,0.7995429473673141,0.10081583306236994,0.5665334452124756,65927.4609375,167875.15625
0.10003180122340824,0.3001500512906405,0.7354775512353129,0.10002122762567942,0.20187822574936065,84418.2890625,125729.0390625
0.10001628425774482,0.30151978178654854,0.5522242655581713,0.1000608056238597,0.2,95011.0390625,113534.0078125
0.10013378865098364,0.3015224722721988,0.7999483206532033,0.10346611666420207,0.5155172013987408,67876.7578125,162875.609375
0.10001207703057864,0.30000869969046384,0.5310338291170469,0.10024912337533307,0.20000132417368635,96404.34375,111942.109375
0.10007547919126243,0.30001391236179115,0.7999525566715878,0.10007582647325157,0.7913565420611682,58023.5390625,189299.453125
0.1000334407198225,0.3018474103505012,0.4555040741086823,0.10004328618924785,0.20002105361731853,101817.421875,106138.84375
0.10005175196164315,0.3000336783811163,0.29753674238460837,0.10000438826955839,0.2029782864829822,111421.125,94867.8671875
0.1001855620255038,0.3000074395511459,0.7974556785751828,0.10001201103924566,0.2,80939.6953125,130462.0078125
0.10010832006802896,0.3015224722721988,0.7999483206532033,0.1001910929425386,0.49692090654231774,68459.8671875,160975.46875
0.10026385192950109,0.30001298380249125,0.7999674492767528,0.10010110882293485,0.28845500113518413,76617.2734375,139383.203125
0.1000516683879655,0.307412462938834,0.43900957436499616,0.10063900161156528,0.2105672801507614,102785.5,105534.40625
0.10009283376808176,0.300051090133717,0.7987849500853633,0.10023229821013463,0.375023376978583,73035.5859375,148035.25
0.10010671203219293,0.3002730282548531,0.7998501975187365,0.10067907379983954,0.22406098418231696,79662.0859375,133029.671875
0.10006313144640629,0.3,0.10235785978434898,0.10039425309701014,0.2,125262.609375,79188.5234375
0.10009464324477182,0.3004652491941955,0.7998501975187365,0.10002491985789386,0.21680676357158807,80001.0546875,132311.109375
0.10014405198175427,0.30024690395476394,0.7765940257264866,0.10003576831231295,0.5563740394434835,67766.1171875,164335.953125
0.10008417973883527,0.3053563790598734,0.7800471628063064,0.10029695203018936,0.2009710603037156,82053.5546875,129067.625
0.10006570342177162,0.3001593878173051,0.4329876547227508,0.10036238304532433,0.20036533149155458,103372.984375,104421.0625
0.10003387181525779,0.300020045919227,0.30719223208037155,0.1000871664718538,0.20158782240678452,110828.03125,95507.2734375
0.10013510927744818,0.3058955352993834,0.7995838424807065,0.10069073480814868,0.6082351947861435,64497.9609375,171972.921875
0.10054697089612422,0.3013530009639947,0.7999807538208054,0.10016614321327531,0.7572650970088239,59224.6015625,186220.359375
0.10007961151064536,0.30004727313688917,0.7999525566715878,0.10008068411710788,0.48461204910035655,68847.6640625,159732.546875
0.10001253048752426,0.3035221184368526,0.799737969070694,0.10000021435097257,0.23915594949186023,79004.1015625,134494.6875
0.10004812376203089,0.30003082013339055,0.23174480646315265,0.10003221080821155,0.20019719380340592,115966.4296875,89815.234375
0.10001852919821914,0.3000110184600591,0.6538181453956448,0.10000020340338749,0.20000000111748167,88989.3828125,120162.046875
0.10002112257885662,0.3024432173016865,0.11244449125102232,0.10001459932931625,0.20034964115337425,124479.4453125,80107.9296875
0.10023849427777988,0.3039596832202528,0.7999885339579383,0.10008071680017215,0.3914980402816198,72438.4140625,149904.78125
0.10002075512241888,0.30009448791528653,0.14588150027141183,0.10001977469141131,0.20000577357018423,121832.9375,82976.953125
0.10057949276477518,0.3013530009639947,0.7999807538208054,0.10017290835051668,0.7516668487518771,59413.0859375,185694.984375
0.10000004287438616,0.30001113812528585,0.6599637791200328,0.10000048208045458,0.20000000111748167,88645.78125,120549.75
