Version,window_u,shgc,roof_u,extWall_u,transmittance,total_idealHeating,total_idealCooling,total_solarRad
baseline,2.42,0.27,0.31,0.33,,85938.697968,20173.346493,30969.921732
v1,0.78,0.7,0.2,0.7,0.4,78185.30093,23485.27799,76018.68246
v2,2.22,0.22,0.4,0.46,0.8,106103.3015,18277.50776,21394.96737
v3,0.3,0.34,0.1,0.46,0.2,79751.382,20142.25212,23717.88606
v4,1.26,0.22,0.4,0.1,0.6,91826.19093,18743.3235,17686.57546
v5,0.78,0.7,0.5,0.58,0.2,82543.11301,22782.46462,64667.69467
v6,1.74,0.34,0.2,0.58,0.2,98658.74215,18668.06616,25168.39412
v7,2.7,0.1,0.1,0.22,0.4,109021.6606,13918.18657,5208.978514
v8,1.26,0.7,0.4,0.22,0.8,76666.4576,24123.1861,98668.95962
v9,0.3,0.7,0.1,0.34,0.4,66216.90339,24112.6111,76042.53168
v10,1.26,0.58,0.1,0.46,0.2,83557.14505,21743.55781,51663.95991
v11,2.7,0.7,0.1,0.46,0.6,90414.29294,22863.10417,87193.64966
v12,2.7,0.58,0.6,0.46,0.6,100794.4327,21856.14428,69972.57456
v13,0.3,0.58,0.1,0.58,0.2,74379.04418,22624.58027,51687.45538
v14,2.22,0.1,0.2,0.46,0.4,109610.4236,14482.12343,5207.994614
v15,1.74,0.7,0.5,0.1,0.8,80791.46864,23848.89345,98612.92166
v16,1.26,0.58,0.3,0.34,0.8,80628.38849,23417.88432,79323.96246
v17,2.7,0.34,0.6,0.58,0.6,110382.8615,19435.20641,34798.20303
v18,2.7,0.22,0.2,0.34,0.4,107242.315,16836.3713,16017.59584
v19,2.7,0.7,0.6,0.1,0.6,91820.19692,22871.68747,87193.64966
v20,1.26,0.22,0.5,0.34,0.6,96866.20364,18724.00576,17686.57546
v21,1.74,0.7,0.3,0.1,0.4,80836.83397,23087.25949,75964.81427
v22,1.26,0.58,0.1,0.1,0.4,76437.4215,22751.96827,60883.96076
v23,2.22,0.46,0.4,0.34,0.8,95265.17561,21667.64148,57973.01691
v24,2.7,0.1,0.6,0.34,0.8,116881.3857,14938.54255,7085.282183
v25,0.3,0.46,0.4,0.22,0.2,76906.39238,21730.34093,38903.6233
v26,2.7,0.1,0.2,0.1,0.4,108570.1771,13929.48456,5208.978514
v27,2.22,0.58,0.1,0.34,0.4,89510.11717,21797.13689,60828.18092
v28,2.7,0.46,0.6,0.7,0.2,110466.1303,19389.08408,37200.85791
v29,2.7,0.58,0.2,0.22,0.2,95041.0508,20679.23378,51620.16423
v30,0.3,0.34,0.2,0.58,0.4,81756.14264,20932.90825,28435.29299
v31,2.7,0.58,0.2,0.22,0.4,93375.39373,21486.33874,60796.36939
v32,1.74,0.58,0.3,0.46,0.6,88275.89252,22606.46122,70063.94343
v33,0.3,0.34,0.2,0.34,0.8,76380.94571,22201.1839,37870.10687
v34,1.26,0.1,0.6,0.34,0.6,103233.6559,15785.95421,5813.199007
v35,2.22,0.34,0.5,0.7,0.8,105751.8128,20120.2051,39658.84068
v36,0.3,0.46,0.6,0.7,0.6,83632.61878,22660.72207,53151.53992
v37,2.7,0.58,0.4,0.34,0.8,95459.6737,22381.96595,79148.77973
v38,2.7,0.22,0.2,0.58,0.8,109286.2082,17850.35462,21375.87888
v39,1.74,0.22,0.2,0.34,0.4,98402.95039,17556.8789,16035.05358
v40,0.3,0.58,0.3,0.34,0.8,69942.51294,24181.31393,79417.94435
v41,2.7,0.22,0.5,0.1,0.8,106276.8508,17975.58804,21375.87888
v42,0.78,0.22,0.3,0.34,0.6,88865.65908,19192.88308,17694.54463
v43,1.26,0.22,0.3,0.22,0.2,94059.20559,17182.44486,12475.25884
v44,0.3,0.7,0.3,0.46,0.2,72677.82048,23338.0634,64679.61928
v45,0.3,0.34,0.6,0.1,0.8,78122.44769,22238.39506,37870.10687
v46,1.74,0.1,0.3,0.34,0.6,104314.2273,15159.97036,6143.311322
v47,0.78,0.58,0.5,0.34,0.8,78211.18357,23699.36653,79372.95191
v48,0.3,0.34,0.2,0.46,0.8,78128.20133,22125.45252,37870.10687
v49,0.78,0.1,0.2,0.7,0.2,98234.32,15220.13966,3993.71646
v50,2.7,0.7,0.3,0.46,0.8,92097.04487,23146.09223,98485.96391
v51,0.78,0.22,0.6,0.58,0.8,95526.29158,19615.97255,20302.85932
v52,2.7,0.58,0.6,0.34,0.4,100505.4413,21334.13001,60796.36939
v53,2.7,0.22,0.5,0.34,0.6,110401.6014,17601.25758,18696.73736
v54,2.7,0.46,0.1,0.7,0.4,102334.3475,20142.84734,44107.23154
v55,1.74,0.7,0.6,0.58,0.4,91855.21817,22677.83326,75964.81427
v56,1.74,0.22,0.3,0.58,0.4,103139.4816,17625.48315,16035.05358
v57,0.3,0.58,0.3,0.34,0.8,69942.51294,24181.31393,79417.94435
v58,1.26,0.1,0.2,0.1,0.4,94601.68874,14850.17389,4904.055434
v59,0.78,0.22,0.5,0.7,0.8,95814.87721,19575.40244,20302.85932
v60,1.26,0.58,0.4,0.58,0.8,85360.26464,23231.24977,79323.96246
v61,1.74,0.46,0.4,0.58,0.8,94087.90808,21916.79829,58021.13167
v62,0.78,0.1,0.3,0.58,0.6,97284.69983,16161.79158,5809.612806
v63,2.7,0.22,0.2,0.7,0.4,112069.0515,16894.9107,16017.59584
v64,1.26,0.34,0.1,0.7,0.8,90966.963,20918.19402,37820.67863
v65,1.26,0.1,0.4,0.46,0.8,102124.3458,16010.26222,6722.342581
v66,2.7,0.1,0.2,0.34,0.8,111741.6741,14623.30424,7085.282183
v67,0.3,0.58,0.3,0.1,0.2,70271.62791,22836.09266,51687.45538
v68,0.78,0.1,0.2,0.46,0.8,93899.24116,16388.6986,6717.56098
v69,1.74,0.46,0.3,0.34,0.4,91614.53071,21009.36825,44157.80798
v70,1.26,0.58,0.1,0.1,0.6,75031.34072,23302.78275,70103.96161
v71,2.7,0.1,0.4,0.34,0.2,115282.1517,13984.84695,4270.826679
v72,2.7,0.7,0.4,0.7,0.8,96612.26811,22977.45466,98485.96391
v73,0.78,0.22,0.2,0.7,0.4,93165.3561,18454.61124,15086.22993
v74,0.78,0.34,0.2,0.1,0.2,81541.60797,19676.21792,23712.05912
v75,2.7,0.58,0.3,0.7,0.4,101470.9715,21223.46827,60796.36939
v76,2.22,0.7,0.2,0.58,0.6,89375.49055,23036.14098,87243.25331
v77,0.3,0.7,0.6,0.46,0.4,75017.41007,23792.23429,76042.53168
v78,2.7,0.34,0.5,0.1,0.4,103252.8288,18908.26993,29974.56331
v79,2.7,0.46,0.1,0.58,0.2,102250.4812,19355.39865,37200.85791
v80,2.7,0.22,0.2,0.34,0.2,108107.5594,16099.25657,13338.45433
v81,0.3,0.58,0.2,0.22,0.8,66658.26016,24309.36897,79417.94435
v82,2.7,0.34,0.3,0.1,0.6,99508.92139,19559.6879,34798.20303
v83,1.74,0.34,0.5,0.58,0.8,99672.60917,20544.97087,39691.72485
v84,2.22,0.58,0.2,0.7,0.6,94491.89102,22172.23745,70020.29186
v85,0.3,0.46,0.5,0.34,0.2,80076.80527,21641.79202,38903.6233
v86,2.7,0.46,0.5,0.22,0.6,99899.469,20934.03949,51013.60517
v87,0.78,0.34,0.5,0.1,0.6,83462.58575,21216.66561,33135.21911
v88,2.7,0.7,0.1,0.7,0.4,95118.69609,22183.93083,75901.3354
v89,1.74,0.34,0.1,0.46,0.8,92480.29345,20633.55798,39691.72485
v90,1.74,0.46,0.2,0.22,0.4,88362.84469,21085.95582,44157.80798
v91,1.26,0.58,0.6,0.22,0.4,85363.84872,22468.75256,60883.96076
v92,2.7,0.1,0.5,0.7,0.2,121277.0214,14321.15171,4270.826679
v93,0.78,0.7,0.1,0.58,0.8,72409.43722,24369.28652,98720.65804
v94,2.7,0.22,0.2,0.46,0.4,108938.6988,16857.48508,16017.59584
v95,0.3,0.22,0.2,0.46,0.6,83347.96772,19730.76786,17700.96718
v96,2.7,0.22,0.4,0.46,0.2,112489.0714,16269.84122,13338.45433
v97,1.74,0.34,0.5,0.7,0.8,101214.4606,20500.32736,39691.72485
v98,2.7,0.46,0.6,0.1,0.2,101991.3271,19554.4256,37200.85791
v99,0.3,0.1,0.1,0.7,0.4,90460.40959,16097.43393,4898.997613
v100,0.3,0.22,0.4,0.34,0.4,85268.8319,19165.12416,15090.51163
v101,1.74,0.34,0.2,0.22,0.4,92310.63787,19602.29121,30009.50436
v102,1.74,0.34,0.3,0.1,0.6,90714.39747,20325.69581,34850.61461
v103,0.3,0.34,0.4,0.1,0.2,78637.65878,20336.15846,23717.88606
v104,1.26,0.7,0.5,0.34,0.2,84308.70564,22528.26568,64654.77007
v105,0.78,0.58,0.5,0.58,0.4,84105.25204,22695.62557,60908.45549
v106,2.7,0.58,0.4,0.58,0.4,101279.4247,21255.33143,60796.36939
v107,2.7,0.22,0.4,0.34,0.8,108683.3877,17927.8921,21375.87888
v108,0.78,0.22,0.3,0.46,0.6,90593.14203,19164.66032,17694.54463
v109,0.3,0.7,0.4,0.1,0.6,65516.91558,24528.95327,87405.44408
v110,0.78,0.46,0.6,0.34,0.8,83280.15282,22810.98963,60239.18702
v111,1.74,0.34,0.6,0.34,0.6,98379.78422,20216.69076,34850.61461
v112,0.3,0.1,0.5,0.22,0.2,89796.16632,15646.27917,3992.38295
v113,2.7,0.7,0.6,0.46,0.2,100544.6542,21429.91241,64609.02114
v114,2.22,0.22,0.4,0.46,0.8,106103.3015,18277.50776,21394.96737
v115,0.3,0.7,0.4,0.58,0.2,75708.64305,23228.71033,64679.61928
v116,2.22,0.34,0.2,0.22,0.8,95010.42241,20309.68352,39658.84068
v117,2.7,0.22,0.4,0.34,0.8,108683.3877,17927.8921,21375.87888
v118,2.7,0.1,0.2,0.34,0.6,111884.4002,14419.87967,6147.130349
v119,0.78,0.1,0.4,0.7,0.8,99849.93397,16625.7346,6717.56098
v120,0.78,0.22,0.4,0.34,0.8,89589.67649,19669.50006,20302.85932
v121,2.7,0.1,0.5,0.58,0.2,119778.8098,14242.91328,4270.826679
v122,0.78,0.1,0.4,0.34,0.6,95301.59332,16136.24066,5809.612806
v123,0.78,0.22,0.1,0.58,0.6,89299.92485,19084.67442,17694.54463
v124,2.7,0.22,0.6,0.34,0.6,111622.1106,17632.35749,18696.73736
v125,2.7,0.58,0.4,0.46,0.4,99663.28332,21311.42984,60796.36939
v126,2.22,0.1,0.3,0.7,0.8,113567.4786,15236.7316,7083.314384
v127,0.3,0.58,0.3,0.34,0.2,74029.49228,22680.10719,51687.45538
v128,2.7,0.1,0.2,0.22,0.2,110840.4169,13672.92328,4270.826679
v129,0.78,0.22,0.2,0.46,0.6,89156.95873,19139.8183,17694.54463
v130,2.7,0.1,0.6,0.34,0.4,117359.7961,14480.68224,5208.978514
v131,1.26,0.34,0.3,0.34,0.8,88959.53996,21058.39727,37820.67863
v132,0.3,0.34,0.1,0.7,0.2,82973.09544,20065.66567,23717.88606
v133,0.78,0.1,0.1,0.1,0.4,87660.58438,15162.85785,4901.664633
v134,2.22,0.22,0.3,0.22,0.8,101254.661,18278.61446,21394.96737
v135,2.22,0.1,0.2,0.46,0.6,109257.8292,14791.90209,6145.654499
v136,2.7,0.7,0.2,0.46,0.8,90682.75132,23190.78404,98485.96391
v137,0.78,0.58,0.1,0.1,0.4,71242.56257,23183.13903,60908.45549
v138,0.78,0.1,0.6,0.22,0.4,96458.07697,15768.67173,4901.664633
v139,1.26,0.1,0.2,0.46,0.8,99374.39348,15843.21788,6722.342581
v140,2.7,0.58,0.4,0.58,0.6,99871.93545,21848.7187,69972.57456
v141,2.22,0.34,0.2,0.22,0.4,96867.79131,19186.14393,29993.06228
v142,1.26,0.22,0.3,0.34,0.2,95867.94055,17204.1557,12475.25884
v143,2.22,0.7,0.6,0.22,0.2,92931.34523,21863.10126,64625.55569
v144,0.78,0.34,0.5,0.58,0.8,89709.55896,21415.06853,37846.79911
v145,0.3,0.7,0.6,0.22,0.6,70074.55365,24360.42082,87405.44408
v146,0.3,0.7,0.3,0.1,0.8,62926.5057,24888.31893,98768.35648
v147,2.22,0.58,0.2,0.1,0.4,87261.65537,21913.01132,60828.18092
v148,1.26,0.1,0.5,0.46,0.2,104471.026,14965.72495,3994.91186
v149,2.22,0.34,0.3,0.34,0.8,98241.83981,20253.88663,39658.84068
v150,0.3,0.1,0.1,0.22,0.6,83237.09376,16385.39125,5805.612276
v151,1.74,0.34,0.1,0.46,0.4,94363.91375,19512.02054,30009.50436
v152,1.26,0.7,0.5,0.46,0.6,82745.57382,23582.99617,87330.89644
v153,2.7,0.34,0.6,0.7,0.4,112976.974,18799.05639,29974.56331
v154,0.78,0.58,0.1,0.7,0.6,78585.9969,23313.03238,70140.7037
v155,2.22,0.1,0.4,0.46,0.4,112298.4444,14670.48678,5207.994614
v156,1.26,0.7,0.2,0.1,0.8,71913.95884,24295.64474,98668.95962
v157,2.7,0.34,0.1,0.1,0.6,96621.43396,19539.42711,34798.20303
v158,2.7,0.1,0.3,0.34,0.8,113108.881,14715.77394,7085.282183
v159,2.22,0.34,0.3,0.58,0.4,103413.372,19116.44143,29993.06228
v160,2.22,0.46,0.5,0.58,0.6,100837.7244,21100.89659,51053.38375
v161,2.7,0.58,0.6,0.58,0.8,101325.788,22185.92379,79148.77973
v162,2.22,0.34,0.6,0.1,0.6,99184.23627,19926.63223,34825.95148
v163,0.78,0.7,0.1,0.22,0.8,67257.1909,24583.16802,98720.65804
v164,0.3,0.7,0.5,0.1,0.2,70008.33079,23466.47907,64679.61928
v165,2.7,0.1,0.6,0.7,0.8,121630.9222,15122.9502,7085.282183
v166,2.22,0.46,0.6,0.1,0.6,95055.16147,21332.26636,51053.38375
v167,0.3,0.34,0.5,0.7,0.8,85528.89321,21899.72903,37870.10687
v168,0.78,0.1,0.5,0.7,0.2,102279.561,15497.02055,3993.71646
v169,0.3,0.58,0.1,0.46,0.8,68664.07024,24208.07834,79417.94435
v170,1.26,0.46,0.3,0.22,0.4,84964.6739,21507.70105,45989.50283
v171,0.3,0.46,0.3,0.46,0.6,76413.9447,22914.26125,53151.53992
v172,0.3,0.22,0.3,0.58,0.4,87255.69447,19089.97008,15090.51163
v173,2.7,0.1,0.3,0.34,0.4,113593.9316,14239.30027,5208.978514
v174,1.74,0.58,0.4,0.1,0.8,83064.63463,23181.07024,79270.60488
v175,2.7,0.58,0.5,0.22,0.2,99116.915,20655.76286,51620.16423
v176,0.78,0.58,0.1,0.46,0.2,78358.539,22206.02536,51676.20727
v177,1.26,0.22,0.5,0.1,0.8,92543.28898,19209.18057,20292.23376
v178,0.3,0.34,0.4,0.34,0.2,82406.44409,20232.49087,23717.88606
v179,2.7,0.1,0.6,0.22,0.2,115981.0159,14049.38564,4270.826679
v180,1.74,0.1,0.1,0.22,0.2,100434.6499,14030.2624,4269.55367
v181,1.26,0.22,0.5,0.34,0.8,96273.95819,19145.99702,20292.23376
v182,2.7,0.1,0.2,0.46,0.2,114292.9516,13882.20297,4270.826679
v183,1.74,0.34,0.6,0.7,0.4,104308.2295,19508.12903,30009.50436
v184,2.7,0.1,0.4,0.34,0.6,114559.2925,14602.87014,6147.130349
v185,2.7,0.58,0.6,0.22,0.8,96211.24575,22384.98421,79148.77973
v186,0.78,0.58,0.1,0.34,0.6,73642.74016,23525.59984,70140.7037
v187,1.74,0.58,0.5,0.1,0.4,86939.54082,22193.39856,60857.28197
v188,2.7,0.46,0.6,0.22,0.6,101145.579,20920.79871,51013.60517
v189,1.74,0.46,0.2,0.7,0.6,93827.9188,21480.0969,51089.46982
v190,1.74,0.46,0.5,0.22,0.2,93937.15009,20262.3194,37226.14613
v191,2.7,0.7,0.5,0.7,0.8,97905.24779,22938.06983,98485.96391
v192,2.7,0.46,0.3,0.7,0.2,106633.0171,19359.47313,37200.85791
v193,1.74,0.7,0.6,0.58,0.4,91855.21817,22677.83326,75964.81427
v194,1.74,0.34,0.6,0.46,0.2,102341.8738,18788.52175,25168.39412
v195,0.3,0.34,0.1,0.7,0.2,82973.09544,20065.66567,23717.88606
v196,0.78,0.1,0.2,0.58,0.8,95533.9241,16435.36968,6717.56098
v197,2.7,0.7,0.5,0.58,0.8,96369.16287,22998.48536,98485.96391
v198,0.78,0.7,0.1,0.22,0.4,69912.73371,23820.14629,76018.68246
v199,2.7,0.46,0.3,0.46,0.2,103493.7061,19417.30916,37200.85791
v200,2.22,0.58,0.6,0.7,0.2,102821.9481,20778.92675,51636.06999
v201,1.74,0.22,0.1,0.46,0.8,97275.44309,18604.74497,21410.79434
v202,2.7,0.34,0.5,0.34,0.2,108133.7537,18045.69112,25150.9236
v203,2.7,0.46,0.6,0.7,0.4,109033.1946,20132.32288,44107.23154
v204,0.3,0.46,0.2,0.58,0.6,76594.25562,22886.87513,53151.53992
v205,1.26,0.58,0.6,0.7,0.8,89486.589,23085.70548,79323.96246
v206,0.3,0.46,0.2,0.58,0.6,76594.25562,22886.87513,53151.53992
v207,2.7,0.58,0.6,0.7,0.8,102858.1175,22128.1596,79148.77973
v208,0.78,0.22,0.2,0.7,0.4,93165.3561,18454.61124,15086.22993
v209,0.78,0.7,0.6,0.22,0.2,78711.27293,22950.66057,64667.69467
v210,2.22,0.22,0.5,0.7,0.4,111809.4169,17348.92856,16027.14009
v211,0.3,0.58,0.1,0.7,0.6,73011.85852,23716.15954,70174.44803
v212,2.7,0.46,0.5,0.58,0.2,107719.2939,19408.53327,37200.85791
v213,0.78,0.46,0.4,0.34,0.6,81710.9486,22474.1459,53124.30651
v214,2.7,0.34,0.2,0.7,0.2,108968.4217,17930.41377,25150.9236
v215,2.7,0.46,0.4,0.1,0.6,96690.36621,21012.15707,51013.60517
v216,2.22,0.58,0.2,0.58,0.2,95982.80628,20868.48819,51636.06999
v217,1.74,0.7,0.3,0.34,0.8,81805.64199,23782.45343,98612.92166
v218,0.78,0.7,0.5,0.34,0.2,79221.50059,22916.25031,64667.69467
v219,1.74,0.58,0.3,0.22,0.2,87786.22801,21405.21333,51650.62052
v220,2.7,0.46,0.2,0.58,0.2,103709.8021,19371.90056,37200.85791
v221,2.7,0.34,0.4,0.7,0.6,109410.8699,19393.14553,34798.20303
v222,1.26,0.22,0.6,0.58,0.8,100859.806,19105.75427,20292.23376
v223,2.22,0.46,0.3,0.7,0.8,98796.65877,21509.35317,57973.01691
v224,1.26,0.46,0.1,0.58,0.4,87209.35676,21355.24547,45989.50283
v225,0.3,0.46,0.4,0.1,0.8,71260.6212,23520.16627,60275.49823
v226,1.74,0.58,0.5,0.34,0.8,88117.86129,22983.46043,79270.60488
v227,0.3,0.22,0.1,0.7,0.2,86721.7122,18178.0274,12480.05608
v228,0.78,0.22,0.4,0.46,0.2,93627.95834,17768.5517,12477.91523
v229,0.78,0.34,0.4,0.22,0.2,86324.72233,19680.21561,23712.05912
v230,0.78,0.22,0.1,0.1,0.8,81454.70355,19708.99227,20302.85932
v231,0.78,0.22,0.2,0.34,0.8,86767.0184,19642.60528,20302.85932
v232,0.3,0.34,0.5,0.7,0.4,87491.11144,20858.91819,28435.29299
v233,1.74,0.1,0.3,0.46,0.6,106012.4016,15230.51442,6143.311322
v234,1.74,0.34,0.6,0.1,0.6,94665.86971,20320.30713,34850.61461
v235,0.78,0.7,0.6,0.58,0.2,83822.69665,22746.15598,64667.69467
v236,1.26,0.22,0.1,0.46,0.2,94684.17687,17085.35091,12475.25884
v237,2.7,0.22,0.4,0.7,0.2,115594.4813,16333.02891,13338.45433
v238,2.7,0.7,0.2,0.1,0.8,85232.01692,23409.61857,98485.96391
v239,0.78,0.34,0.5,0.34,0.4,88292.34732,20460.53489,28423.63911
v240,2.7,0.22,0.1,0.1,0.4,102091.0878,16716.93323,16017.59584
v241,0.3,0.7,0.5,0.58,0.8,72660.98647,24514.30571,98768.35648
v242,1.74,0.7,0.1,0.34,0.2,83392.26419,22300.58413,64640.76058
v243,2.22,0.1,0.4,0.58,0.8,113361.5293,15254.44866,7083.314384
v244,1.26,0.58,0.1,0.7,0.6,83746.6502,22928.68305,70103.96161
v245,2.22,0.46,0.5,0.46,0.2,101927.8927,19786.70681,37214.11744
v246,0.3,0.58,0.5,0.22,0.8,70888.42046,24166.34112,79417.94435
v247,2.22,0.22,0.1,0.58,0.6,104032.9561,17775.68515,18711.05373
v248,0.78,0.46,0.2,0.22,0.2,79704.36097,21212.37359,38894.5455
v249,0.78,0.1,0.6,0.34,0.2,98679.96505,15344.43633,3993.71646
v250,0.3,0.58,0.6,0.22,0.8,72183.13847,24122.95515,79417.94435
v251,0.3,0.58,0.5,0.34,0.6,73852.64072,23729.53345,70174.44803
v252,0.78,0.22,0.6,0.46,0.4,95350.9327,18611.39287,15086.22993
v253,0.3,0.1,0.4,0.22,0.8,87203.9543,17137.08385,6712.226939
v254,1.26,0.58,0.3,0.34,0.6,81775.42112,23040.12795,70103.96161
v255,1.74,0.7,0.5,0.22,0.2,87243.75021,22229.92838,64640.76058
v256,2.7,0.7,0.1,0.22,0.6,86874.09679,23010.47266,87193.64966
v257,2.7,0.58,0.3,0.7,0.4,101470.9715,21223.46827,60796.36939
v258,2.22,0.1,0.2,0.1,0.8,103686.3768,14782.98305,7083.314384
v259,1.74,0.34,0.5,0.58,0.6,100457.439,20130.24035,34850.61461
v260,1.26,0.1,0.3,0.46,0.8,100779.3971,15931.04673,6722.342581
v261,2.7,0.34,0.4,0.1,0.2,103177.3829,18026.88055,25150.9236
v262,2.22,0.58,0.4,0.46,0.8,92987.22405,22624.10344,79212.40279
v263,2.7,0.58,0.6,0.7,0.8,102858.1175,22128.1596,79148.77973
v264,1.74,0.34,0.4,0.58,0.2,101415.9435,18727.41845,25168.39412
v265,1.74,0.1,0.1,0.22,0.8,99415.33,15154.07053,7080.190147
v266,2.7,0.7,0.6,0.7,0.4,101887.108,22019.75597,75901.3354
v267,1.74,0.7,0.3,0.7,0.6,87929.12086,23227.42986,87288.86797
v268,2.22,0.1,0.4,0.46,0.8,111764.5673,15192.21085,7083.314384
v269,1.26,0.58,0.6,0.1,0.2,85069.18937,21826.5276,51663.95991
v270,0.3,0.7,0.2,0.7,0.4,72675.18425,23858.11067,76042.53168
v271,1.26,0.22,0.5,0.46,0.6,98576.33831,18702.54975,17686.57546
v272,0.3,0.22,0.5,0.7,0.6,90715.57732,19701.55602,17700.96718
v273,1.74,0.46,0.6,0.46,0.4,97261.17615,20915.05512,44157.80798
v274,1.26,0.58,0.2,0.1,0.8,75424.32161,23627.15452,79323.96246
v275,1.74,0.34,0.6,0.1,0.8,93872.51813,20758.66009,39691.72485
v276,1.26,0.58,0.3,0.46,0.6,83498.986,22968.10619,70103.96161
v277,2.7,0.34,0.5,0.58,0.8,108450.9378,19815.15575,39621.84275
v278,2.22,0.1,0.2,0.1,0.8,103686.3768,14782.98305,7083.314384
v279,2.7,0.58,0.5,0.34,0.8,96760.59408,22346.14115,79148.77973
v280,2.7,0.34,0.6,0.7,0.8,111206.151,19780.92384,39621.84275
v281,1.74,0.34,0.4,0.58,0.6,99159.41103,20131.73938,34850.61461
v282,1.26,0.7,0.2,0.7,0.8,80532.39819,23935.69289,98668.95962
v283,2.22,0.22,0.2,0.1,0.6,98436.51808,17831.21728,18711.05373
v284,1.74,0.58,0.6,0.34,0.2,93547.25312,21290.8697,51650.62052
v285,0.78,0.7,0.1,0.34,0.2,73474.49869,23092.9879,64667.69467
v286,0.78,0.1,0.1,0.1,0.8,86904.04279,16113.80651,6717.56098
v287,2.7,0.46,0.6,0.46,0.6,104639.5438,20809.31003,51013.60517
v288,1.26,0.7,0.5,0.22,0.8,77996.88429,24078.43926,98668.95962
v289,0.78,0.1,0.2,0.7,0.8,97085.48746,16476.48501,6717.56098
v290,2.22,0.1,0.5,0.7,0.2,117035.3532,14552.15743,4270.33473
v291,1.74,0.7,0.5,0.58,0.4,90593.22336,22713.62311,75964.81427
v292,0.78,0.1,0.2,0.22,0.2,91527.05364,14846.43646,3993.71646
v293,0.78,0.34,0.2,0.58,0.2,88677.56636,19535.2607,23712.05912
v294,0.3,0.34,0.1,0.22,0.8,72984.72787,22316.30809,37870.10687
v295,0.78,0.46,0.3,0.34,0.6,80316.33801,22511.57327,53124.30651
v296,2.7,0.7,0.4,0.46,0.6,94668.83037,22729.19433,87193.64966
v297,1.74,0.22,0.5,0.1,0.4,98753.4228,17687.39829,16035.05358
v298,0.3,0.7,0.3,0.46,0.6,69527.39915,24350.79818,87405.44408
v299,0.3,0.1,0.3,0.58,0.8,91024.11764,17153.31742,6712.226939
v300,0.78,0.22,0.4,0.22,0.4,89239.42054,18577.77791,15086.22993
v301,0.3,0.7,0.4,0.34,0.8,68021.13083,24693.56014,98768.35648
v302,2.7,0.22,0.4,0.22,0.8,106892.2572,17936.06292,21375.87888
v303,0.3,0.1,0.2,0.46,0.8,87942.03289,17044.49922,6712.226939
v304,2.22,0.34,0.4,0.34,0.2,102630.5615,18363.2353,25160.17308
v305,2.7,0.7,0.4,0.58,0.8,95072.89859,23038.41202,98485.96391
v306,1.74,0.58,0.5,0.46,0.2,93987.66517,21248.3531,51650.62052
v307,1.74,0.7,0.4,0.1,0.8,79464.35497,23892.59168,98612.92166
v308,1.26,0.7,0.5,0.58,0.8,83118.44552,23861.74898,98668.95962
v309,2.22,0.46,0.6,0.22,0.8,96018.54338,21687.20707,57973.01691
v310,2.7,0.7,0.1,0.7,0.8,92385.09123,23110.86146,98485.96391
v311,1.26,0.7,0.2,0.58,0.8,78986.20961,23999.78388,98668.95962
v312,2.7,0.46,0.6,0.22,0.8,100229.309,21338.11501,57919.9788
v313,2.22,0.58,0.4,0.58,0.8,94613.23906,22558.97326,79212.40279
v314,2.7,0.58,0.5,0.7,0.8,101618.8368,22158.19346,79148.77973
v315,1.74,0.46,0.2,0.22,0.8,86109.41212,22192.66593,58021.13167
v316,2.7,0.34,0.1,0.22,0.6,98544.0677,19499.19946,34798.20303
v317,2.7,0.34,0.3,0.22,0.6,101419.8213,19518.65033,34798.20303
v318,1.26,0.7,0.5,0.7,0.2,89162.6575,22339.26205,64654.77007
v319,1.26,0.46,0.3,0.1,0.6,81763.44735,22212.60807,53094.42174
v320,0.78,0.1,0.2,0.58,0.8,95533.9241,16435.36968,6717.56098
v321,1.26,0.1,0.1,0.34,0.2,97270.63795,14440.55955,3994.91186
v322,2.7,0.34,0.6,0.58,0.6,110382.8615,19435.20641,34798.20303
v323,0.3,0.1,0.3,0.1,0.2,85149.55595,15332.36929,3992.38295
v324,0.78,0.7,0.4,0.7,0.2,82749.69427,22760.4463,64667.69467
v325,2.7,0.1,0.4,0.1,0.4,111261.7427,14137.48279,5208.978514
v326,2.22,0.34,0.5,0.58,0.6,104959.2068,19759.99615,34825.95148
v327,1.26,0.22,0.2,0.1,0.8,88409.81894,19146.91973,20292.23376
v328,2.22,0.22,0.2,0.22,0.8,99849.22739,18244.19215,21394.96737
v329,2.7,0.46,0.4,0.7,0.8,104354.6069,21147.6034,57919.9788
v330,0.78,0.46,0.5,0.22,0.4,82478.21045,21936.42465,46009.42601
v331,1.26,0.58,0.1,0.34,0.6,78807.74537,23139.17352,70103.96161
v332,1.26,0.46,0.6,0.58,0.6,92842.39274,21836.06248,53094.42174
v333,0.3,0.1,0.3,0.46,0.2,90637.93801,15625.58549,3992.38295
v334,0.78,0.1,0.6,0.1,0.4,94550.24493,15691.85674,4901.664633
v335,0.3,0.58,0.6,0.1,0.4,72775.42824,23382.05782,60930.95171
v336,1.74,0.46,0.6,0.1,0.2,93295.86203,20316.10994,37226.14613
v337,2.7,0.58,0.2,0.1,0.2,93129.51499,20737.68731,51620.16423
v338,2.22,0.58,0.3,0.7,0.8,94803.02293,22535.19701,79212.40279
v339,2.22,0.7,0.2,0.1,0.4,83823.8401,22802.75131,75934.4045
