Version,window_u,shgc,roof_u,extWall_u,transmittance,total_idealHeating,total_idealCooling,total_solarRad
v4225,0.78,0.46,0.2,0.22,0.4,78274.66118,22022.09094,46009.42601
v4226,0.3,0.46,0.5,0.34,0.2,80076.80527,21641.79202,38903.6233
v4227,1.26,0.1,0.3,0.1,0.2,96437.10282,14464.95977,3994.91186
v4228,0.78,0.22,0.4,0.22,0.8,87764.2544,19710.86791,20302.85932
v4229,1.26,0.7,0.5,0.7,0.2,89162.6575,22339.26205,64654.77007
v4230,2.22,0.34,0.1,0.46,0.2,100120.8555,18242.91723,25160.17308
v4231,2.22,0.7,0.6,0.22,0.4,91138.28546,22565.38666,75934.4045
v4232,1.26,0.46,0.2,0.7,0.4,90266.53367,21277.42748,45989.50283
v4233,2.22,0.1,0.4,0.46,0.6,111949.1548,14969.91526,6145.654499
v4234,2.7,0.22,0.1,0.34,0.8,104514.85,17816.63377,21375.87888
v4235,2.7,0.34,0.6,0.46,0.8,108068.647,19852.92916,39621.84275
v4236,2.22,0.1,0.6,0.58,0.4,116356.0809,14888.79735,5207.994614
v4237,2.22,0.7,0.1,0.22,0.8,81491.07757,23660.0804,98552.10212
v4238,2.7,0.7,0.4,0.7,0.6,97824.89833,22605.23552,87193.64966
v4239,1.26,0.7,0.4,0.7,0.4,86103.28452,23027.97883,75992.83325
v4240,1.74,0.46,0.2,0.1,0.8,84173.07088,22273.49556,58021.13167
v4241,0.78,0.22,0.1,0.58,0.8,88648.33956,19553.68595,20302.85932
v4242,2.22,0.58,0.3,0.34,0.8,89906.47535,22734.91952,79212.40279
v4243,2.7,0.1,0.4,0.22,0.8,112647.9619,14721.95301,7085.282183
v4244,2.7,0.46,0.6,0.34,0.8,102025.9836,21274.22691,57919.9788
v4245,0.3,0.58,0.2,0.1,0.2,68778.60207,22878.86487,51687.45538
v4246,1.26,0.7,0.2,0.34,0.2,80136.03872,22643.39024,64654.77007
v4247,1.26,0.58,0.4,0.7,0.4,89456.27245,22265.54861,60883.96076
v4248,1.26,0.58,0.5,0.22,0.6,82678.70681,23031.62466,70103.96161
v4249,0.3,0.7,0.5,0.1,0.4,68292.56333,24062.34453,76042.53168
v4250,2.7,0.7,0.5,0.46,0.8,94752.01958,23061.79523,98485.96391
v4251,0.3,0.34,0.2,0.1,0.6,73490.02323,21859.37657,33152.69993
v4252,2.7,0.7,0.6,0.34,0.4,97051.05359,22200.26294,75901.3354
v4253,2.7,0.34,0.1,0.22,0.2,100869.4075,17893.3381,25150.9236
v4254,2.22,0.22,0.1,0.1,0.8,96454.23339,18217.13225,21394.96737
v4255,2.22,0.22,0.2,0.22,0.4,101180.9495,17153.76683,16027.14009
v4256,1.74,0.7,0.2,0.34,0.8,80370.00136,23831.06604,98612.92166
v4257,0.3,0.22,0.1,0.1,0.8,75521.54799,20399.15308,20311.42272
v4258,2.7,0.46,0.1,0.22,0.2,97114.13535,19446.61917,37200.85791
v4259,1.26,0.22,0.1,0.22,0.2,91141.699,17029.19808,12475.25884
v4260,0.3,0.34,0.2,0.46,0.8,78128.20133,22125.45252,37870.10687
v4261,2.22,0.46,0.5,0.7,0.6,102375.4691,21050.35905,51053.38375
v4262,1.74,0.7,0.4,0.46,0.6,86130.00737,23310.80957,87288.86797
v4263,2.7,0.7,0.3,0.1,0.8,86660.73724,23364.64391,98485.96391
v4264,0.3,0.34,0.5,0.58,0.2,87103.72583,20154.19767,23717.88606
v4265,2.22,0.22,0.3,0.7,0.6,108408.1675,17859.3377,18711.05373
v4266,2.22,0.34,0.3,0.1,0.8,94507.86135,20358.92035,39658.84068
v4267,2.7,0.46,0.4,0.58,0.2,106439.2446,19398.9112,37200.85791
